Data Point Number, Analog Reading 1, Analog Reading 2, Analog Reading 3, Current Milliseconds, Microseconds Write Time
458,479,482,491,916,1256
459,479,471,467,917,1272
460,479,458,439,919,1256
461,479,450,421,920,1264
462,479,452,423,922,1260
463,479,460,438,923,1256
464,479,470,457,925,1256
465,479,482,481,926,1256
466,479,493,505,928,1268
467,479,499,520,929,1260
468,479,496,515,930,1272
469,479,485,496,932,1256
470,479,473,472,933,1272
471,479,460,444,935,1256
472,479,494,516,948,12288
473,479,482,493,950,1264
474,479,469,466,951,1256
475,479,456,437,952,1272
476,479,448,418,954,1256
477,479,452,421,955,1272
478,479,460,436,957,1256
479,479,470,456,958,1256
480,479,483,482,960,1256
481,479,494,507,961,1256
482,479,500,522,963,1264
483,479,497,518,964,1256
484,479,485,497,966,1272
485,479,473,472,967,1256
486,479,459,442,968,1272
487,479,450,420,970,1256
488,479,450,419,971,1264
489,479,458,432,973,1256
490,479,468,452,974,1256
491,479,480,477,976,1256
492,479,530,542,982,1256
493,479,498,512,983,1256
494,479,475,475,985,1260
495,479,458,441,986,1256
496,479,449,421,988,1264
497,479,452,422,989,1260
498,479,462,439,991,1268
499,479,472,460,992,1256
500,479,485,487,993,1272
501,479,495,511,995,1260
502,479,500,524,996,1272
503,479,495,516,998,1256
504,479,483,494,999,1256
505,479,471,466,1001,1300
506,479,457,437,1002,1300
507,479,448,417,1004,1288
508,479,451,419,1005,1288
509,479,460,435,1007,1296
510,479,471,457,1008,1288
511,479,484,563,1012,4024
512,479,507,542,1014,1292
513,479,489,510,1015,1300
514,479,474,478,1017,1292
515,479,459,443,1018,1296
516,479,449,419,1020,1292
517,479,450,417,1021,1300
518,479,458,432,1024,1296
519,479,469,453,1025,1292
520,479,482,481,1027,1296
521,479,494,507,1028,1292
522,479,501,525,1030,1296
523,479,498,521,1031,1292
524,479,485,499,1033,1296
525,479,473,472,1034,1292
526,479,459,440,1036,1296
527,479,448,417,1037,1292
528,479,449,416,1039,1304
529,479,458,432,1040,1292
530,479,480,481,1043,2880
531,479,494,508,1045,1304
532,479,501,526,1046,1288
533,479,497,520,1047,1304
534,479,484,496,1049,1288
535,479,471,468,1050,1304
536,479,457,436,1052,1292
537,479,448,414,1053,1304
538,479,450,416,1055,1288
539,479,459,434,1056,1304
540,479,471,456,1058,1292
541,479,484,485,1059,1304
542,479,496,511,1061,1292
543,479,502,527,1062,1304
544,479,497,519,1064,1292
545,479,483,495,1065,1304
546,479,471,466,1068,1292
547,479,456,435,1069,1300
548,479,447,413,1071,1292
549,479,443,406,1074,3168
550,479,466,445,1076,1304
551,479,484,482,1077,1288
552,479,497,511,1079,1304
553,479,502,525,1080,1292
554,479,494,512,1081,1304
555,479,480,488,1083,1288
556,479,467,458,1084,1304
557,479,453,428,1086,1288
558,479,447,412,1087,1304
559,479,452,419,1089,1292
560,479,463,440,1090,1304
561,479,474,465,1092,1292
562,479,488,493,1093,1304
563,479,498,516,1095,1292
564,479,502,527,1096,1304
565,479,493,512,1098,1292
566,479,479,487,1099,1304
567,479,466,457,1101,1292
568,479,489,507,1116,14180
569,479,474,475,1117,1304
570,479,458,440,1119,1292
571,479,448,415,1120,1304
572,479,450,416,1122,1288
573,479,458,432,1123,1304
574,479,470,454,1125,1292
575,479,483,483,1126,1304
