today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],PITCH_CMD_KP=0.0045KI=0KD=0.000742,PITCH_MEAS,ROLL_CMD_KP0.0045KI=0KD=0.000742,ROLL_MEAS,YAW_CMDKPy=0.231KIy=0KDy=0,YAW_MEAS,
Thu Feb 15 18:54:56 2018,9476854,558.774,1515,1516,1088,1514,1940,1940,0.0704269,0.140846,1,2.38419e-07,0.5,0.5,5116,16,1044,0,8,28,-1.70467,-0.253785,-10.3765,0.293726,-0.271377,-0.152184,40.8691,15.9047,48.8795,0.140846,33.2711,0.0704269,28.0131,2.38419e-07,-0.152184,
Thu Feb 15 18:54:56 2018,9486855,558.774,1515,1516,1088,1514,1940,1940,0.0704269,0.140846,1,2.38419e-07,0.5,0.5,5116,16,1044,0,8,28,-0.263362,-1.62806,-8.96868,0.0787526,-0.183047,-0.154313,40.8691,15.9047,48.8795,0.140846,32.8355,0.0704269,27.529,2.38419e-07,-0.154313,
Thu Feb 15 18:54:56 2018,9496856,558.774,1515,1515,1088,1514,1940,1940,0.0704269,0.0704269,1,2.38419e-07,0.5,0.5,5116,20,1046,0,32,14,0.560243,-0.981623,-10.3046,-0.241579,-0.158569,0.0893948,40.8691,15.9047,48.8795,0.140846,32.4213,0.0704269,26.9285,2.38419e-07,0.0893948,
Thu Feb 15 18:54:56 2018,9506857,558.774,1515,1515,1088,1514,1940,1940,0.0704269,0.0704269,1,2.38419e-07,0.5,0.5,5116,20,1046,0,32,14,-0.579397,0.732626,-12.4786,-0.264992,0.112808,0.0840737,40.8691,15.9047,48.8795,0.0704269,32.072,0.0704269,26.2352,2.38419e-07,0.0840737,
Thu Feb 15 18:54:56 2018,9516858,558.774,1515,1515,1088,1514,1940,1940,0.0704269,0.0704269,1,2.38419e-07,0.5,0.5,5124,18,1044,6,8,30,-2.52828,1.13964,-10.5297,0.283084,-0.277763,0.0117065,40.8691,15.9047,48.8795,0.0704269,31.6754,0.0704269,25.7361,2.38419e-07,0.0117065,
Thu Feb 15 18:54:56 2018,9526859,558.774,1515,1515,1088,1514,1940,1940,0.0704269,0.0704269,1,2.38419e-07,0.5,0.5,5124,18,1044,6,8,30,-2.35111,-0.0335188,-5.39653,0.212845,0.0595966,-0.0468259,40.8691,15.9047,48.8795,0.0704269,31.238,0.0704269,25.4085,2.38419e-07,-0.0468259,
Thu Feb 15 18:54:56 2018,9536860,558.366,1515,1516,1088,1514,1940,1940,0.0704269,0.140846,1,2.38419e-07,0.5,0.5,5118,24,1046,0,30,28,-1.54187,-2.16436,-11.0708,-0.190496,0.290533,-0.173469,40.8691,15.9047,48.8795,0.0704269,30.9519,0.0704269,24.9739,2.38419e-07,-0.173469,
Thu Feb 15 18:54:56 2018,9546861,558.366,1515,1516,1088,1514,1940,1940,0.0704269,0.140846,1,2.38419e-07,0.5,0.5,5118,24,1046,0,30,28,0.474052,-1.79086,-13.307,-0.0872664,0.128771,-0.133028,40.8691,15.9047,48.8795,0.140846,30.7481,0.0704269,24.3929,2.38419e-07,-0.133028,
Thu Feb 15 18:54:56 2018,9556862,558.366,1515,1515,1088,1514,1940,1940,0.0704269,0.0704269,1,2.38419e-07,0.5,0.5,5118,18,1046,0,28,10,0.92895,0.967257,-9.48583,-0.0787526,-0.00638535,0.176661,40.8691,15.9047,48.8795,0.140846,30.4668,0.0704269,23.8309,2.38419e-07,0.176661,
Thu Feb 15 18:54:56 2018,9566863,558.366,1515,1515,1088,1514,1940,1940,0.0704269,0.0704269,1,2.38419e-07,0.5,0.5,5118,18,1046,0,28,10,-1.54665,1.2402,-9.89284,-0.0127707,0.0276698,0.188368,40.8691,15.9047,48.8795,0.0704269,30.1364,0.0704269,23.317,2.38419e-07,0.188368,
Thu Feb 15 18:54:56 2018,9576864,558.218,1515,1515,1088,1514,1940,1940,0.0704269,0.0704269,1,2.38419e-07,0.5,0.5,5118,16,1044,0,8,30,-1.81002,-0.742203,-11.746,0.126643,0.102166,-0.232001,40.8691,15.9047,48.8795,0.0704269,29.8435,0.0704269,22.8572,2.38419e-07,-0.232001,
Thu Feb 15 18:54:56 2018,9586865,558.218,1515,1516,1088,1514,1940,1940,0.0704269,0.140846,1,2.38419e-07,0.5,0.5,5118,16,1044,0,8,30,1.09176,-1.61848,-9.56723,0.139413,0.0148991,-0.238386,40.8691,15.9047,48.8795,0.0704269,29.5658,0.0704269,22.4091,2.38419e-07,-0.238386,
