ODB Name,Step,Frame,Part Instance Name, Element Label,         IntPt,X,Y,Z,Section Name,Material Name,Section Point,E-Max. In-Plane Principal,E-Max. In-Plane Principal (Abs),       S-Mises,S-Max. In-Plane Principal
C:/temp/newjob.odb,Step-1,Increment      1: Step Time =    1.000,"RIGHTSIDE1-1",            43,             2,  -861.942E-03,       1.63840,            0.,"ASSEMBLY_RIGHTSIDE1-1_SET-5","A36","",   1.50953E-03,   1.50953E-03,   47.0250E+03,   43.2374E+03
C:/temp/newjob.odb,Step-1,Increment      1: Step Time =    1.000,"RIGHTSIDE1-1",            43,             3,  -699.316E-03,       1.53039,            0.,"ASSEMBLY_RIGHTSIDE1-1_SET-5","A36","",   1.31742E-03,   1.31742E-03,   40.2252E+03,   38.6007E+03
C:/temp/newjob.odb,Step-1,Increment      1: Step Time =    1.000,"RIGHTSIDE1-1",            43,             4,  -833.260E-03,       1.54135,            0.,"ASSEMBLY_RIGHTSIDE1-1_SET-5","A36","",   1.34332E-03,   1.34332E-03,   42.1975E+03,   38.1443E+03
C:/temp/newjob.odb,Step-1,Increment      1: Step Time =    1.000,"RIGHTSIDE1-1",            44,             1,  -570.113E-03,   902.348E-03,            0.,"ASSEMBLY_RIGHTSIDE1-1_SET-5","A36","",   291.866E-06,   291.866E-06,   8.90744E+03,   8.55670E+03
C:/temp/newjob.odb,Step-1,Increment      1: Step Time =    1.000,"RIGHTSIDE1-1",            44,             2,  -401.220E-03,   910.509E-03,            0.,"ASSEMBLY_RIGHTSIDE1-1_SET-5","A36","",   280.776E-06,   280.776E-06,   8.24075E+03,   8.81252E+03
C:/temp/newjob.odb,Step-1,Increment      1: Step Time =    1.000,"RIGHTSIDE1-1",            44,             3,  -551.040E-03,       1.01450,            0.,"ASSEMBLY_RIGHTSIDE1-1_SET-5","A36","",   317.647E-06,   317.647E-06,   9.65004E+03,   9.36577E+03
C:/temp/newjob.odb,Step-1,Increment      1: Step Time =    1.000,"RIGHTSIDE1-1",            44,             4,  -393.929E-03,       1.04496,            0.,"ASSEMBLY_RIGHTSIDE1-1_SET-5","A36","",   298.694E-06,   298.694E-06,   8.75071E+03,   9.44334E+03
C:/temp/newjob.odb,Step-1,Increment      1: Step Time =    1.000,"RIGHTSIDE1-1",            45,             1,  -560.009E-03,       1.08503,            0.,"ASSEMBLY_RIGHTSIDE1-1_SET-5","A36","",   551.428E-06,   551.428E-06,   17.9137E+03,   15.1611E+03
C:/temp/newjob.odb,Step-1,Increment      1: Step Time =    1.000,"RIGHTSIDE1-1",            45,             2,  -420.372E-03,       1.12811,            0.,"ASSEMBLY_RIGHTSIDE1-1_SET-5","A36","",   596.436E-06,   596.436E-06,   19.0460E+03,   16.6639E+03
C:/temp/newjob.odb,Step-1,Increment      1: Step Time =    1.000,"RIGHTSIDE1-1",            45,             3,  -603.586E-03,       1.16554,            0.,"ASSEMBLY_RIGHTSIDE1-1_SET-5","A36","",   564.260E-06,   564.260E-06,   18.0114E+03,   15.7709E+03
