today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P), kiei(I), kded(D)
Thu Sep 26 01:09:38 2019,9938850,1081,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5534,1238,0,30,14,-0.708684,-0.158017,-9.22246,0.0106422,0.335231,0.0266056,-23.8688,33.7078,29.0391,-4.39416,10.2172,-4.69429,1.24131,-3.45298,0.209753,-0,-0.0355357,
Thu Sep 26 01:09:38 2019,9948851,1080.92,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5534,1238,0,30,14,-0.588974,-0.114922,-9.41879,0.00212845,0.338423,0.0234129,-23.8688,33.7078,29.0391,-3.57815,10.5028,-4.80832,1.18968,-3.61864,0.20795,-0,-0.036055,
Thu Sep 26 01:09:38 2019,9958852,1080.92,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5400,5548,1234,0,8,28,-0.603339,-0.0143652,-9.47146,0.0170276,0.35013,0.0234129,-23.8688,33.7078,29.0391,-3.64486,10.7859,-4.90886,1.13563,-3.77323,0.206115,-0,-0.0367186,
Thu Sep 26 01:09:38 2019,9968853,1080.92,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5400,5548,1234,0,8,28,-0.550666,-0.047884,-9.33739,0.0170276,0.35013,0.0159634,-23.8688,33.7078,29.0391,-3.37508,11.0724,-4.99576,1.08508,-3.91068,0.204239,-0,-0.0375109,
Thu Sep 26 01:09:38 2019,9978854,1080.92,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5392,5550,1234,0,8,28,-0.512359,-0.201113,-9.49062,0.0127707,0.351194,0.0148991,-17.8125,35.5008,33.1875,-3.09017,11.3586,-5.06914,1.03445,-4.0347,0.202344,-0,-0.0379069,
Thu Sep 26 01:09:38 2019,9988855,1081.17,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5392,5550,1234,0,8,28,-0.459687,-0.215478,-9.44273,0.00638535,0.354387,0.0117065,-17.8125,35.5008,33.1875,-2.78705,11.6441,-5.1288,0.983627,-4.14518,0.200448,-0,-0.0379103,
Thu Sep 26 01:09:38 2019,9998856,1081.17,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5546,1238,0,30,14,-0.287304,-0.134075,-9.88326,0,0.356515,0.0138349,-17.8125,35.5008,33.1875,-1.66511,11.93,-5.17378,0.933704,-4.24008,0.198544,-0,-0.0380743,
Thu Sep 26 01:09:38 2019,10008857,1081.17,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5546,1238,0,30,14,-0.258574,-0.100556,-9.72525,0.00212845,0.353322,0.0127707,-17.8125,35.5008,33.1875,-1.52302,12.2174,-5.20262,0.885957,-4.31666,0.196611,-0,-0.0386666,
Thu Sep 26 01:09:38 2019,10018858,1081.17,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5392,5546,1234,0,6,30,-0.205901,-0.105345,-9.72046,0.0042569,0.343744,0.0244772,-17.8125,35.5008,33.1875,-1.21347,12.5066,-5.21495,0.840672,-4.37428,0.194653,-0,-0.0391619,
Thu Sep 26 01:09:38 2019,10028859,1081.17,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5392,5546,1234,0,6,30,-0.296881,0.0047884,-9.84975,0.0148991,0.339488,0.0297983,-17.8125,35.5008,33.1875,-1.72643,12.7943,-5.21191,0.794605,-4.4173,0.192675,-0,-0.0395665,
