today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],Filter accY,Filter accX,Filter accY,Filter gyroY, Filter gyroX, Filter gyroZ,Pitch(acc),Pitch(gyro), Comp Filter,P,I,D,
Thu Sep 26 00:39:58 2019,44535857,1085.6,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5550,1234,0,28,30,-0.656011,-0.134075,-9.61033,0.0117065,-0.0244772,0.0117065,-15.8531,35.6801,33.3604,-0.534112,-0.114665,-9.5901,0.00182423,0.00593057,-0.00084246,-0.0460564,-3.18775,-3.2338,0.0197729,0,-0.00204204,
Thu Sep 26 00:39:58 2019,44545858,1085.7,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5388,5538,1234,0,28,10,-0.579397,-0.114922,-9.76355,0.019156,-0.0244772,0.0117065,-15.8531,35.6801,33.3604,-0.539299,-0.113992,-9.58897,0.00875586,0.00571826,-0.000762938,-0.0427192,-3.21902,-3.26174,0.0196797,0,-0.00201907,
Thu Sep 26 00:39:58 2019,44555859,1085.7,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5554,1234,0,28,10,-0.627281,-0.153229,-9.67736,0.0180918,-0.0266056,0.0106422,-15.8531,35.6801,33.3604,-0.544314,-0.113434,-9.58836,0.00692137,0.00346642,-0.00170529,-0.040088,-3.24909,-3.28918,0.0195899,0,-0.00194602,
Thu Sep 26 00:39:58 2019,44565860,1085.7,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5554,1234,0,28,10,-0.56982,-0.143652,-9.57681,0.0117065,-0.0223487,0.0117065,-15.8531,35.6801,33.3604,-0.549116,-0.113029,-9.58813,0.000126657,0.00750085,-0.000525128,-0.0369461,-3.27777,-3.31472,0.0194958,0,-0.00203965,
Thu Sep 26 00:39:58 2019,44575861,1085.7,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5384,5546,1238,0,28,10,-0.6608,-0.105345,-9.56723,0.0138349,-0.0202203,0.0106422,-15.8531,35.6801,33.3604,-0.553729,-0.112746,-9.58796,0.00205289,0.00912811,-0.00147927,-0.0321823,-3.3053,-3.33749,0.0194045,0,-0.00197713,
Thu Sep 26 00:39:58 2019,44585862,1085.86,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5384,5546,1238,0,28,10,-0.603339,-0.110133,-9.55287,0.0106422,-0.0202203,0.00532112,-15.8531,35.6801,33.3604,-0.558213,-0.1125,-9.58773,-0.00128231,0.00854662,-0.00641875,-0.0271189,-3.3321,-3.35921,0.0193242,0,-0.00173913,
Thu Sep 26 00:39:58 2019,44595863,1085.86,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5392,5548,1234,0,28,10,-0.612916,-0.124498,-9.59596,0.0117065,-0.0180918,0.0127707,-15.8531,35.6801,33.3604,-0.56255,-0.112275,-9.58743,-0.000257242,0.0100183,0.00130178,-0.0218004,-3.35803,-3.37983,0.0192402,0,-0.0018217,
Thu Sep 26 00:39:58 2019,44605864,1085.86,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5392,5548,1234,0,28,10,-0.703895,-0.110133,-9.65342,0.0117065,-0.0170276,0.0148991,-16.3875,34.0664,34.2246,-0.566786,-0.112089,-9.58721,-0.000336315,0.0103091,0.00327127,-0.015977,-3.38333,-3.39931,0.01915,0,-0.00195256,
Thu Sep 26 00:39:58 2019,44615865,1085.86,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5392,5550,1234,0,8,30,-0.641646,-0.186748,-9.6199,0.00744957,-0.0170276,0.0180918,-16.3875,34.0664,34.2246,-0.571035,-0.111996,-9.58717,-0.0044794,0.00951822,0.00607905,-0.0102969,-3.40865,-3.41895,0.019082,0,-0.00147385,
Thu Sep 26 00:39:58 2019,44625866,1085.86,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5392,5550,1234,0,8,30,-0.670376,-0.105345,-9.59117,0.00638535,-0.0117065,0.0138349,-16.3875,34.0664,34.2246,-0.575275,-0.112045,-9.58726,-0.00519948,0.0138486,0.00149926,-0.00360281,-3.43387,-3.43747,0.018992,0,-0.00194967,
Thu Sep 26 00:39:58 2019,44635867,1085.86,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5388,5548,1234,0,26,12,-0.593762,-0.0909797,-9.50977,0.00957802,-0.0106422,0.0106422,-16.3875,34.0664,34.2246,-0.579414,-0.112127,-9.58731,-0.00176674,0.0136868,-0.00167897,0.00428552,-3.4585,-3.45421,0.018913,0,-0.00171272,
Thu Sep 26 00:39:58 2019,44645868,1086.11,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5388,5548,1234,0,26,12,-0.593762,-0.129287,-9.53371,0.00851379,-0.0117065,0.0138349,-16.3875,34.0664,34.2246,-0.583328,-0.112173,-9.58716,-0.00269105,0.011451,0.00152722,0.011487,-3.48186,-3.47037,0.0188021,0,-0.00240238,
Thu Sep 26 00:39:58 2019,44655869,1086.11,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5388,5548,1234,0,26,12,-0.560243,-0.215478,-9.51456,0.00957802,-0.00744957,0.0138349,-16.3875,34.0664,34.2246,-0.586917,-0.112324,-9.58678,-0.00149066,0.014452,0.00140117,0.0189076,-3.50336,-3.48446,0.0187119,0,-0.00195469,
Thu Sep 26 00:39:58 2019,44665870,1086.11,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5382,5536,1238,0,28,10,-0.550666,-0.215478,-9.65821,0.0106422,-0.00851379,0.0117065,-16.3875,34.0664,34.2246,-0.590123,-0.11277,-9.58632,-0.000386649,0.0120534,-0.000755445,0.0265009,-3.52262,-3.49612,0.0186118,0,-0.00216784,
