today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=0.0035, kiei(I)=5e-10, kded(D)=0.00048,signal, mad_pitch
Thu Sep 26 02:39:07 2019,6949375,1041.31,1513,1510,1088,1511,1088,1514,-0.0469513,0.281685,0.9,-0.845062,-0.5,-1.19209e-07,5390,5548,1234,0,28,30,-0.177171,-0.68953,-9.88326,0.00851379,0.0840737,-0.0489543,-15.4969,36.7559,35.0889,-1.027,12.008,-4.39886,0.931944,-3.46692,0.251816,1.44157e-12,0.0276782,0.281685,-71.6657,
Thu Sep 26 02:39:07 2019,6959376,1041.31,1513,1510,1088,1511,1088,1514,-0.0469513,0.281685,0.9,-0.845062,-0.5,-1.19209e-07,5390,5548,1234,0,28,30,-0.134075,-0.440533,-9.61033,0,0.0893948,-0.0180918,-15.4969,36.7559,35.0889,-0.799292,12.293,-4.4429,0.879588,-3.56331,0.253858,1.45844e-12,0.028002,0.281685,-72.2491,
Thu Sep 26 02:39:07 2019,6969377,1041.31,1513,1510,1088,1511,1088,1514,-0.0469513,0.281685,0.9,-0.845062,-0.5,-1.19209e-07,5374,5528,1234,0,28,28,-0.134075,-0.694318,-9.61511,-0.00957802,0.0957802,0.00851379,-15.4969,36.7559,35.0889,-0.798894,12.5776,-4.46965,0.828071,-3.64158,0.255893,1.45407e-12,0.0279181,0.281685,-72.8307,
Thu Sep 26 02:39:07 2019,6979378,1041.31,1513,1510,1088,1511,1088,1514,-0.0469513,0.281685,0.9,-0.845062,-0.5,-1.19209e-07,5374,5528,1234,0,28,28,-0.177171,-0.651223,-9.47625,-0.0223487,0.104294,0.0393763,-15.4969,36.7559,35.0889,-1.0711,12.8617,-4.48053,0.777222,-3.70331,0.257928,1.45311e-12,0.0278998,0.281685,-73.4119,
Thu Sep 26 02:39:07 2019,6989379,1041.31,1513,1510,1088,1511,1088,1514,-0.0469513,0.281685,0.9,-0.845062,-0.5,-1.19209e-07,5384,5540,1234,0,28,28,-0.181959,-0.459687,-9.67736,-0.0223487,0.113872,0.0564039,-15.4969,36.7559,35.0889,-1.07718,13.1454,-4.47736,0.727468,-3.7499,0.259959,1.45103e-12,0.0278599,0.281685,-73.9924,
Thu Sep 26 02:39:07 2019,6999380,1041.68,1513,1510,1088,1511,1088,1514,-0.0469513,0.281685,0.9,-0.845062,-0.5,-1.19209e-07,5384,5540,1234,0,28,28,-0.225055,-0.497994,-9.57681,-0.0287341,0.12345,0.0691746,-15.4969,36.7559,35.0889,-1.3462,13.4292,-4.46188,0.679197,-3.78268,0.26199,1.45052e-12,0.02785,0.281685,-74.5726,
Thu Sep 26 02:39:07 2019,7009381,1041.68,1513,1510,1088,1512,1088,1514,-0.0469513,0.281685,0.9,-0.563385,-0.5,-1.19209e-07,5406,5538,1234,0,28,28,-0.35913,-0.545878,-9.5816,-0.0393763,0.124514,0.0744957,-15.4969,36.7559,35.0889,-2.14651,13.7153,-4.43645,0.634796,-3.80165,0.264008,1.44182e-12,0.027683,0.281685,-75.1493,
Thu Sep 26 02:39:07 2019,7019382,1041.68,1513,1510,1088,1512,1088,1514,-0.0469513,0.281685,0.9,-0.563385,-0.5,-1.19209e-07,5388,5536,1234,0,28,26,-0.47884,-0.670376,-9.63427,-0.0510828,0.129835,0.0595966,-15.4969,36.7559,35.0889,-2.84536,14.0003,-4.40444,0.590606,-3.81383,0.266015,1.43291e-12,0.027512,0.281685,-75.7225,
Thu Sep 26 02:39:07 2019,7029383,1041.68,1513,1510,1088,1512,1088,1514,-0.0469513,0.281685,0.9,-0.563385,-0.5,-1.19209e-07,5388,5536,1234,0,28,26,-0.545878,-0.483629,-9.48104,-0.0595966,0.138349,0.0457616,-15.4969,36.7559,35.0889,-3.29521,14.2843,-4.36903,0.547069,-3.82196,0.268016,1.4296e-12,0.0274482,0.281685,-76.2943,
Thu Sep 26 02:39:07 2019,7039384,1041.22,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5388,5536,1234,0,28,26,-0.670376,-0.363919,-9.59117,-0.0595966,0.139413,0.0266056,-15.4969,36.7559,35.0889,-3.9982,14.5705,-4.33281,0.507206,-3.82561,0.27001,1.42452e-12,0.0273508,0.281685,-76.8641,
