today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],YAW_CMD, YAW_MEAS
Sun Feb 18 05:28:22 2018,7551061,751.923,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4986,3980,1194,0,30,14,0.110133,0.129287,-10.4004,0.00744957,-0.0202203,-0.00319267,-17.8037,42.4922,47.7586,0.055,-0.00319267,
Sun Feb 18 05:28:22 2018,7561062,751.923,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4992,3980,1196,0,32,12,0.0622492,0.148441,-10.3334,0.0106422,-0.0138349,-0.00532112,-17.8037,42.4922,47.7586,0.055,-0.00532112,
Sun Feb 18 05:28:22 2018,7571063,750.82,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4992,3980,1196,0,32,12,0.138864,0.105345,-10.3717,0.0170276,-0.0138349,-0.00106422,-17.8037,42.4922,47.7586,0.055,-0.00106422,
Sun Feb 18 05:28:22 2018,7581064,750.82,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4986,3978,1194,0,8,32,0,0.201113,-10.3717,0.0170276,-0.00957802,-0.00212845,-17.8037,42.4922,47.7586,0.055,-0.00212845,
Sun Feb 18 05:28:22 2018,7591065,750.82,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4986,3978,1194,0,8,32,-0.0430956,0.124498,-10.4148,0.00851379,-0.0106422,-0.00212845,-17.8037,42.4922,47.7586,0.055,-0.00212845,
Sun Feb 18 05:28:22 2018,7601066,750.82,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4994,3978,1194,0,8,30,0.0670376,0.172383,-10.3334,0.0117065,-0.0117065,-0.00319267,-17.8037,42.4922,47.7586,0.055,-0.00319267,
Sun Feb 18 05:28:22 2018,7611067,751.575,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4994,3978,1194,0,8,30,0.105345,0.158017,-10.4196,0.00851379,-0.00957802,-0.00106422,-17.8037,42.4922,47.7586,0.055,-0.00106422,
Sun Feb 18 05:28:22 2018,7621068,751.575,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4990,3978,1194,0,8,30,0.023942,0.134075,-10.2232,0.0117065,-0.0138349,-0.0042569,-17.8037,42.4922,47.7586,0.055,-0.0042569,
Sun Feb 18 05:28:22 2018,7631069,751.575,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4990,3978,1194,0,8,30,0.100556,0.134075,-10.4674,0.0106422,-0.0127707,-0.00532112,-17.8037,42.4922,47.7586,0.055,-0.00532112,
Sun Feb 18 05:28:22 2018,7641070,751.575,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4992,3978,1196,0,8,30,0.100556,0.134075,-10.3382,0.0148991,-0.0117065,-0,-17.8037,42.4922,47.7586,0.055,-0,
