today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],YAW_CMD, YAW_MEAS_FILT
Sun Feb 18 06:22:09 2018,8847959,777.278,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0,0.5,-1.19209e-07,5012,3502,1128,0,30,14,-0.0574608,-0.0143652,-10.3765,0.019156,-0.0127707,0.00851379,22.9893,36.2484,46.4273,0,0.00851379,
Sun Feb 18 06:22:09 2018,8857960,777.104,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0,0.5,-1.19209e-07,5006,3504,1126,0,20,32,0.0622492,0.0766145,-10.4387,0.0170276,-0.00851379,0.00638535,25.0635,35.5547,46.4273,0,0.00638535,
Sun Feb 18 06:22:09 2018,8867961,777.104,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0,0.5,-1.19209e-07,5006,3504,1126,0,20,32,0.0191536,0.0957681,-10.252,0.00957802,-0.0127707,0.00744957,25.0635,35.5547,45.7617,0,0.00744957,
Sun Feb 18 06:22:09 2018,8877962,777.104,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0,0.5,-1.19209e-07,5006,3508,1128,0,8,30,0.00957681,0.0574608,-10.4483,0.0159634,-0.0106422,0.00319267,25.0635,35.5547,45.7617,0,0.00319267,
Sun Feb 18 06:22:09 2018,8887963,777.104,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0,0.5,-1.19209e-07,5026,3502,1128,0,32,12,0.0143652,0.071826,-10.2232,0.00212845,-0.00851379,0.00532112,25.0635,35.5547,45.7617,0,0.00532112,
Sun Feb 18 06:22:09 2018,8897964,777.104,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0,0.5,-1.19209e-07,5026,3502,1128,0,32,12,0.0526724,0.0143652,-10.4483,0.0042569,-0.0127707,0.0042569,25.0635,35.5547,45.7617,0,0.0042569,
Sun Feb 18 06:22:09 2018,8907969,777.104,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0,0.5,-1.19209e-07,5016,3504,1130,0,32,12,0.0574608,0.114922,-10.4244,0.0042569,-0.00638535,0.00638535,25.0635,35.5547,45.7617,0,0.00638535,
Sun Feb 18 06:22:09 2018,8917970,777.199,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0,0.5,-1.19209e-07,5016,3504,1130,0,32,12,0.114922,0.0574608,-10.4483,0.0106422,-0.0148991,0.00106422,25.0635,35.5547,45.7617,0,0.00106422,
Sun Feb 18 06:22:09 2018,8927971,777.199,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0,0.5,-1.19209e-07,5004,3504,1132,0,32,14,0.0287304,0.105345,-10.2999,0.0159634,-0.0138349,0.00851379,25.0635,35.5547,45.7617,0,0.00851379,
Sun Feb 18 06:22:09 2018,8937972,777.199,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0,0.5,-1.19209e-07,5004,3504,1132,0,32,14,0.023942,0.0814029,-10.3765,0.0159634,-0.00957802,0.00532112,25.0635,35.5547,45.7617,0,0.00532112,
Sun Feb 18 06:22:09 2018,8947973,777.199,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0,0.5,-1.19209e-07,5004,3504,1132,0,30,12,0.110133,0.0622492,-10.4148,0.0159634,-0.0148991,0.0042569,25.0635,35.5547,45.7617,0,0.0042569,
Sun Feb 18 06:22:09 2018,8957974,776.643,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0,0.5,-1.19209e-07,5006,3504,1130,0,30,12,0.0287304,0.0335188,-10.4818,0.0202203,-0.0117065,0.00532112,25.0635,35.5547,45.7617,0,0.00532112,
Sun Feb 18 06:22:09 2018,8967975,776.643,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0,0.5,-1.19209e-07,5006,3504,1130,0,30,12,0.0622492,0,-10.3765,0.00957802,-0.0170276,0.0042569,25.0635,35.5547,45.7617,0,0.0042569,
Sun Feb 18 06:22:09 2018,8977976,776.643,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0,0.5,-1.19209e-07,5002,3502,1126,0,28,12,0.071826,0.0574608,-10.3621,0.00957802,-0.0148991,0.00851379,25.0635,35.5547,45.7617,0,0.00851379,
Sun Feb 18 06:22:09 2018,8987977,776.643,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0,0.5,-1.19209e-07,5002,3502,1126,0,28,12,0.0430956,0.0383072,-10.501,0.00532112,-0.019156,0.00851379,25.0635,35.5547,45.7617,0,0.00851379,
Sun Feb 18 06:22:09 2018,8997978,776.643,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0,0.5,-1.19209e-07,5012,3508,1130,0,8,32,0.0191536,0.110133,-10.386,0.00851379,-0.0148991,0.00744957,25.0635,35.5547,45.7617,0,0.00744957,
Sun Feb 18 06:22:09 2018,9007979,776.643,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0,0.5,-1.19209e-07,5012,3508,1130,0,8,32,0.0670376,0.00957681,-10.2807,0.0117065,-0.0148991,0.00638535,25.0635,35.5547,45.7617,0,0.00638535,
Sun Feb 18 06:22:09 2018,9017980,776.826,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0,0.5,-1.19209e-07,5008,3504,1132,0,30,14,0.00957681,0.0287304,-10.3669,0.00851379,-0.0159634,0.00638535,25.0635,35.5547,45.7617,0,0.00638535,
Sun Feb 18 06:22:09 2018,9027981,776.826,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0,0.5,-1.19209e-07,5016,3502,1128,0,30,12,0.0287304,0.023942,-10.3765,0.0159634,-0.0148991,0.0042569,25.0635,35.5547,45.7617,0,0.0042569,
Sun Feb 18 06:22:09 2018,9037982,776.826,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0,0.5,-1.19209e-07,5016,3502,1128,0,30,12,-0.023942,0.110133,-10.3669,0.0159634,-0.019156,0.00744957,25.0635,35.5547,45.7617,0,0.00744957,
Sun Feb 18 06:22:09 2018,9047983,776.826,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0,0.5,-1.19209e-07,5012,3504,1130,0,30,12,-0.0143652,0.0766145,-10.4579,0.0170276,-0.0170276,0.00744957,25.0635,35.5547,45.7617,0,0.00744957,
Sun Feb 18 06:22:09 2018,9057984,776.887,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0,0.5,-1.19209e-07,5012,3504,1130,0,30,12,-0.0430956,0.0909797,-10.3382,0.0180918,-0.0127707,0.0042569,25.0635,35.5547,45.7617,0,0.0042569,
Sun Feb 18 06:22:09 2018,9067985,776.887,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0,0.5,-1.19209e-07,5006,3502,1128,0,30,32,0.0670376,0.0574608,-10.3717,0.0138349,-0.0159634,0.00532112,25.0635,35.5547,45.7617,0,0.00532112,
