today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],YAW_CMD, YAW_MEAS
Wed Oct  2 06:35:46 2019,12852467,658.672,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5378,5528,1214,0,28,28,0.392649,0,-10.9702,0.0138349,-0.0276698,0.0478901,-22.6219,28.1496,31.6318,-0.0117378,0.0478901,
Wed Oct  2 06:35:46 2019,12862468,658.672,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5374,5524,1214,0,28,26,0.301669,0.110133,-10.8409,-0.0276698,-0.0266056,0.0500185,-22.6219,28.1496,31.6318,-0.0117378,0.0500185,
Wed Oct  2 06:35:46 2019,12872469,658.672,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5374,5524,1214,0,28,26,0.158017,0.282516,-9.46188,-0.0180918,-0.0180918,0.0436332,-22.6219,28.1496,31.6318,-0.0117378,0.0436332,
Wed Oct  2 06:35:46 2019,12882470,658.672,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5378,5532,1210,0,8,28,0.138864,0.296881,-8.73884,0.032991,-0.0138349,0.0351194,-22.6219,28.1496,31.6318,-0.0117378,0.0351194,
Wed Oct  2 06:35:46 2019,12892471,658.672,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5378,5532,1210,0,8,28,0.153229,0.292093,-8.65743,0.0627892,-0.0148991,0.0361836,-22.6219,28.1496,31.6318,-0.0117378,0.0361836,
Wed Oct  2 06:35:46 2019,12902472,658.672,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5378,5532,1210,0,8,28,0.311246,0.186748,-10.0078,0.0542754,-0.0276698,0.0457616,-22.6219,28.1496,31.6318,-0.0117378,0.0457616,
Wed Oct  2 06:35:46 2019,12912473,657.916,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5374,5520,1210,0,6,26,0.392649,0.071826,-11.4491,0,-0.0361836,0.061725,-22.6219,28.1496,31.6318,-0.0117378,0.061725,
Wed Oct  2 06:35:46 2019,12922474,657.916,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5374,5524,1208,0,28,12,0.263362,0.047884,-10.8266,-0.0478901,-0.0308625,0.052147,-22.6219,28.1496,31.6318,-0.0117378,0.052147,
Wed Oct  2 06:35:46 2019,12932475,657.916,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5374,5524,1208,0,28,12,0.0957681,0.196325,-9.26556,-0.0351194,-0.019156,0.0457616,-22.6219,28.1496,31.6318,-0.0117378,0.0457616,
Wed Oct  2 06:35:46 2019,12942476,657.916,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5378,5528,1212,0,6,26,0.162806,0.282516,-8.47069,0.019156,-0.0212845,0.0415047,-22.6219,28.1496,31.6318,-0.0117378,0.0415047,
Wed Oct  2 06:35:46 2019,12952477,658.803,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5378,5528,1212,0,6,26,0.143652,0.220267,-9.05008,0.0457616,-0.0287341,0.042569,-22.6219,28.1496,31.6318,-0.0117378,0.042569,
Wed Oct  2 06:35:46 2019,12962478,658.803,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5378,5528,1212,0,6,26,0.23942,0.100556,-10.41,0.0223487,-0.0361836,0.052147,-22.6219,28.1496,31.6318,-0.0117378,0.052147,
Wed Oct  2 06:35:46 2019,12972479,658.803,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5370,5528,1212,0,8,28,0.311246,-0.0143652,-10.41,-0.019156,-0.032991,0.0553397,-22.6219,28.1496,31.6318,-0.0117378,0.0553397,
