today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],YAW_CMD, YAW_MEAS_FILT
Sun Feb 18 06:59:00 2018,9046911,778.816,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5008,2844,1002,0,30,32,0.100556,0.172383,-10.3669,0.00851379,-0.0138349,0.0127707,3.45703,16.9969,42.6,-0.000234753,0.0127707,
Sun Feb 18 06:59:00 2018,9056912,778.816,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5008,2844,1002,0,30,32,0.0047884,0.129287,-10.343,0.00319267,-0.00957802,0.0127707,3.45703,16.9969,42.6,-0.000234753,0.0127707,
Sun Feb 18 06:59:00 2018,9066913,778.816,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5008,2846,1006,0,30,12,0.0430956,0.181959,-10.41,0.0106422,-0.00638535,0.00851379,3.45703,16.9969,42.6,-0.000234753,0.00851379,
Sun Feb 18 06:59:00 2018,9076914,778.268,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5008,2846,1006,0,30,12,0.0622492,0.110133,-10.2855,0.019156,-0.00851379,0.0117065,3.45703,16.9969,42.6,-0.000234753,0.0117065,
Sun Feb 18 06:59:00 2018,9086915,778.268,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5014,2844,1004,0,8,30,0.0143652,0.153229,-10.4914,0.0106422,-0.00319267,0.0148991,3.45703,16.9969,42.6,-0.000234753,0.0148991,
Sun Feb 18 06:59:00 2018,9096916,778.268,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5014,2844,1004,0,8,30,0,0.0957681,-10.3382,0.0159634,-0.00957802,0.0159634,3.45703,16.9969,42.6,-0.000234753,0.0159634,
Sun Feb 18 06:59:00 2018,9106917,778.268,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5012,2844,1002,0,8,30,0.0622492,0.0670376,-10.3286,0.0148991,-0.00851379,0.0106422,3.45703,16.9969,42.6,-0.000234753,0.0106422,
Sun Feb 18 06:59:00 2018,9116918,778.268,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5012,2844,1002,0,8,30,0.0909797,0.0957681,-10.3334,0.0117065,-0.0117065,0.0148991,3.80273,18.0375,42.6,-0.000234753,0.0148991,
Sun Feb 18 06:59:00 2018,9126919,778.268,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5008,2846,1004,0,8,32,0.0861913,0.134075,-10.4435,0.00744957,-0.0127707,0.0148991,3.80273,18.0375,42.6,-0.000234753,0.0148991,
Sun Feb 18 06:59:00 2018,9136920,779.102,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5008,2846,1004,0,8,32,0.0191536,0.124498,-10.4244,0.0106422,-0.0127707,0.0138349,3.80273,18.0375,42.6,-0.000234753,0.0138349,
Sun Feb 18 06:59:00 2018,9146921,779.102,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5008,2846,1004,0,8,32,0.0814029,0.272939,-10.501,0.00532112,-0.0138349,0.0117065,3.80273,18.0375,42.6,-0.000234753,0.0117065,
