Time,Strain
0.625,2.684
0.626,3.201
0.626,3.056
0.627,3.261
0.627,3.563
0.628,3.04
0.628,3.131
0.629,3.153
0.629,3.077
0.63,2.765
0.63,3.304
0.631,3.298
0.631,2.813
0.632,3.757
0.632,2.614
0.633,2.187
0.633,3.897
0.634,3.476
0.634,3.395
0.635,2.592
0.635,3.32
0.636,2.91
0.636,2.349
0.637,3.471
0.637,3.568
0.638,3.476
0.638,4.296
0.639,3.034
0.639,3.827
0.64,2.899
0.64,2.301
0.64,3.703
0.641,2.883
0.641,2.376
0.642,3.476
0.642,3.196
0.643,3.126
0.643,2.797
0.644,2.533
0.644,3.298
0.645,3.239
0.645,3.099
0.646,2.948
0.646,3.595
0.647,3.083
0.647,3.455
0.648,3.315
0.648,4.091
0.649,3.002
0.649,3.967
0.65,3.412
0.65,2.835
0.651,3.649
0.651,4.15
0.652,3.072
0.652,3.342
0.653,3.919
0.653,2.899
0.654,3.342
0.654,3.342
0.655,3.476
0.655,2.651
0.656,3.077
0.656,2.511
0.657,2.721
0.657,2.84
0.658,2.781
0.658,2.597
0.659,3.029
0.659,3.412
0.66,2.468
0.66,2.538
0.661,2.716
0.661,2.889
0.662,3.816
0.662,2.91
0.663,2.646
0.663,2.085
0.664,3.174
0.664,2.398
0.665,3.466
0.665,2.425
0.666,2.926
0.666,3.174
0.667,2.657
0.667,3.39
0.668,3.627
0.668,3.244
0.669,3.002
0.669,2.98
0.67,2.549
0.67,3.212
0.671,3.029
0.671,2.77
0.672,3.088
0.672,3.336
0.673,2.802
0.673,2.576
0.674,2.98
0.674,2.053
0.675,2.646
0.675,3.39
0.676,2.268
0.676,3.595
0.677,3.061
0.677,2.953
0.678,2.969
0.678,3.007
0.679,2.948
0.679,2.916
0.68,3.288
0.68,2.932
0.681,2.371
0.681,3.266
0.682,3.422
0.682,2.392
0.683,2.522
0.683,2.554
0.684,3.185
0.684,4.07
0.685,2.597
0.685,2.554
0.686,3.53
0.686,2.937
0.687,4.361
0.687,3.363
0.688,2.98
0.689,3.859
0.689,3.417
0.69,3.967
0.69,2.495
0.691,2.463
0.691,2.948
0.692,1.81
0.692,2.748
0.693,2.312
0.693,2.657
0.694,2.495
0.694,2.851
0.695,3.196
0.695,3.277
0.696,2.247
0.696,2.479
0.697,3.358
0.697,3.595
0.698,2.894
0.698,2.942
0.699,3.778
0.699,2.527
0.7,4.188
0.7,3.093
0.701,3.007
0.701,3.126
0.702,3.444
0.702,2.198
0.703,3.223
0.703,3.692
0.704,3.077
0.704,3.466
0.705,2.436
0.705,2.845
0.706,4.091
0.706,3.66
0.707,2.263
0.707,3.05
0.708,3.8
0.708,3.358
0.709,2.473
0.709,2.543
0.71,3.66
0.71,2.344
0.711,3.293
0.711,3.428
0.712,3.212
0.712,2.862
0.713,2.765
0.713,3.315
0.714,2.797
0.714,3.147
0.715,3.714
0.715,3.773
0.716,2.808
0.716,3.104
0.717,3.94
0.717,2.975
0.718,1.999
0.718,2.775
0.719,3.644
0.719,3.973
0.72,3.158
0.72,3.52
0.721,3.191
0.721,2.662
0.722,2.872
0.722,3.336
0.723,3.088
0.723,2.527
0.724,2.554
0.724,4.382
0.725,2.845
0.725,3.697
0.726,2.581
0.726,3.088
0.727,3.374
0.727,2.91
0.728,3.962
0.728,3.627
0.729,2.516
0.729,2.905
0.73,2.835
0.73,3.018
0.731,3.39
0.731,2.042
0.732,3.789
0.732,3.023
0.733,2.673
0.733,3.298
0.734,2.894
0.734,4.372
0.735,3.104
0.735,3.131
0.736,3.115
0.736,3.449
0.737,2.969
0.737,3.131
0.738,3.158
0.738,2.786
0.739,3.681
0.739,3.536
0.74,2.495
0.74,2.187
0.741,2.554
0.741,3.649
0.742,2.878
0.742,2.835
0.743,2.851
0.743,3.067
0.744,2.473
0.744,3.563
0.745,2.948
0.745,3.067
0.746,3.374
0.746,2.711
0.747,2.835
0.747,3.018
0.748,3.212
0.748,3.034
0.749,3.271
0.749,1.481
0.75,2.959
0.75,3.342
0.751,3.045
0.751,3.002
0.752,3.115
0.752,3.234
0.753,3.18
0.753,2.91
0.754,3.973
0.754,3.768
0.755,3.261
0.755,3.455
0.756,3.11
0.756,3.52
0.757,2.883
0.757,2.463
0.758,3.53
0.758,2.177
0.759,2.657
0.759,3.115
0.76,2.063
0.76,2.98
0.761,3.05
0.761,2.937
0.762,3.563
0.762,2.937
0.763,2.743
0.763,3.687
0.764,2.905
0.764,2.948
0.765,3.088
0.765,2.721
0.766,2.937
0.766,2.635
0.767,3.476
0.767,3.617
0.768,3.622
0.768,3.104
0.768,3.131
0.769,3.735
0.769,2.01
0.77,2.921
0.77,2.554
0.771,3.546
0.771,3.32
0.772,3.304
0.772,3.18
0.773,3.633
0.773,1.783
0.774,3.336
0.774,2.694
0.775,3.293
0.775,4.199
0.776,3.061
0.776,2.522
0.777,2.759
0.777,2.797
0.778,2.231
0.778,3.023
0.779,2.894
0.779,3.261
0.78,3.417
0.78,2.829
0.781,2.862
0.781,3.131
0.782,2.975
0.782,2.511
0.783,3.778
0.783,3.487
0.784,3.293
0.784,2.872
0.785,3.401
0.785,3.099
0.786,2.43
0.786,3.32
0.787,3.449
0.787,2.684
0.788,3.072
0.788,2.883
0.789,3.476
0.789,4.059
0.79,2.074
0.79,3.94
0.791,2.603
0.791,2.128
0.792,2.743
0.792,2.7
0.793,2.468
0.793,2.705
0.794,2.743
0.794,2.581
0.795,3.218
0.795,4.048
0.796,3.875
0.796,2.77
0.797,3.174
0.797,3.11
0.798,3.034
0.798,3.25
0.799,3.444
0.799,3.25
0.8,3.46
0.8,2.64
0.801,2.926
0.801,3.719
0.802,2.144
0.802,3.385
0.803,3.919
0.803,2.948
0.804,2.5
0.804,3.514
0.805,2.991
0.805,3.12
0.806,3.023
0.806,2.824
0.807,2.182
0.807,3.056
0.808,2.862
0.808,2.5
0.809,2.382
0.809,2.069
0.81,2.916
0.81,2.673
0.811,2.344
0.811,2.576
0.812,3.158
0.812,2.516
0.813,3.185
0.814,2.306
0.814,3.228
0.815,2.829
0.815,3.147
0.816,2.797
0.816,4.123
0.817,3.482
0.817,2.937
0.818,3.53
0.818,2.835
0.819,3.336
0.819,2.538
0.82,3.471
0.82,3.023
0.821,2.452
0.821,3.293
0.822,2.489
0.822,3.061
0.823,4.167
0.823,3.115
0.824,1.869
0.824,3.331
0.825,3.557
0.825,3.449
0.826,3.304
0.826,3.007
0.827,2.991
0.827,2.533
0.828,3.805
0.828,2.549
0.829,3.52
0.829,2.452
0.83,2.808
0.83,2.247
0.831,3.013
0.831,3.234
0.832,3.509
0.832,3.385
0.833,2.867
0.833,3.983
0.834,1.886
0.834,2.538
0.835,3.347
0.835,2.322
0.836,2.646
0.836,3.013
0.837,3.142
0.837,2.678
0.838,3.514
0.838,2.063
0.839,2.689
0.839,3.768
0.84,3.315
0.84,2.031
0.841,3.59
0.841,3.579
0.842,2.802
0.842,3.546
0.843,1.972
0.843,2.295
0.844,2.689
0.844,2.743
0.845,2.969
0.845,4.21
0.846,3.352
0.846,3.525
0.847,2.754
0.847,2.689
0.848,2.889
0.848,2.511
0.849,3.671
0.849,3.261
