0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2], pitch1, pitch2
Mon Feb  5 12:24:36 2018,4610870,759.821,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4914,8,1210,0,16,62,5.43005,-1.15401,-8.36055,-0.0266056,0.0148991,0.0308625,-52.374,47.6953,22.7977,-32.7566,-0.364634
Mon Feb  5 12:24:36 2018,4620871,759.821,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4916,12,1208,0,60,24,5.53061,-1.0726,-8.37971,-0.0340552,0.00532112,0.032991,-52.374,47.6953,22.7977,-33.2111,-0.358841
Mon Feb  5 12:24:36 2018,4630872,759.821,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4916,12,1208,0,60,24,5.52103,-1.22104,-8.44674,-0.0276698,-0.0106422,0.0308625,-52.374,47.6953,22.7977,-32.899,-0.360366
Mon Feb  5 12:24:36 2018,4640873,759.821,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4914,16,1204,0,16,62,5.42047,-1.28808,-8.31746,-0.0340552,-0.0287341,0.0276698,-52.374,47.6953,22.7977,-32.7824,-0.371646
Mon Feb  5 12:24:36 2018,4650874,760.039,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4914,16,1204,0,16,62,5.42047,-1.42216,-8.39886,-0.0436332,-0.0468259,0.0234129,-52.374,47.6953,22.7977,-32.4696,-0.393292
Mon Feb  5 12:24:36 2018,4660875,760.039,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4920,12,1210,0,60,24,5.40132,-1.31202,-8.5042,-0.0585323,-0.0478901,0.0276698,-52.374,47.6953,22.7977,-32.1168,-0.420426
Mon Feb  5 12:24:36 2018,4670876,760.039,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4920,12,1210,0,60,24,5.33428,-1.10133,-8.59518,-0.0681104,-0.0510828,0.032991,-52.374,47.6953,22.7977,-31.6156,-0.44878
Mon Feb  5 12:24:36 2018,4680877,760.039,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4916,14,1200,0,16,62,5.2433,-0.995988,-8.55209,-0.0734315,-0.0564039,0.0489543,-52.374,47.6953,22.7977,-31.3408,-0.479573
Mon Feb  5 12:24:36 2018,4690878,760.039,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4916,14,1200,0,16,62,5.18105,-1.02951,-8.66222,-0.0766241,-0.0627892,0.0595966,-52.374,47.6953,22.7977,-30.7078,-0.513719
Mon Feb  5 12:24:36 2018,4700879,760.039,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4920,12,1204,0,60,62,5.3678,-1.17795,-8.59997,-0.0830095,-0.0766241,0.0670461,-52.374,47.6953,22.7977,-31.7323,-0.553658
Mon Feb  5 12:24:36 2018,4710880,759.717,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4920,12,1204,0,60,62,5.17148,-1.27372,-8.51378,-0.104294,-0.0915233,0.0744957,-52.374,47.6953,22.7977,-30.9949,-0.601829
Mon Feb  5 12:24:36 2018,4720881,759.717,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4916,12,1204,0,16,60,5.33907,-1.16837,-8.4659,-0.108551,-0.101101,0.0755599,-52.374,47.6953,22.7977,-31.9945,-0.657012
Mon Feb  5 12:24:36 2018,4730882,759.717,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4916,12,1204,0,16,60,5.39653,-1.08697,-8.5473,-0.111744,-0.108551,0.0755599,-52.374,47.6953,22.7977,-32.0601,-0.717073
Mon Feb  5 12:24:36 2018,4740883,759.717,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4914,12,1202,0,16,60,5.37259,-1.18274,-8.44195,-0.114936,-0.104294,0.0702388,-52.374,47.6953,22.7977,-32.2216,-0.778048
Mon Feb  5 12:24:36 2018,4750884,760.125,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4914,12,1202,0,16,60,5.25767,-1.35991,-8.94953,-0.107487,-0.0915233,0.0649177,-52.374,47.6953,22.7977,-30.1486,-0.834146
Mon Feb  5 12:24:36 2018,4760885,760.125,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4914,12,1202,0,62,24,5.02782,-1.69509,-8.98783,-0.102166,-0.0776884,0.0446974,-52.0283,46.3078,22.4648,-28.7981,-0.882621
Mon Feb  5 12:24:36 2018,4770886,760.125,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4914,12,1202,0,62,24,4.82192,-1.89142,-9.26556,-0.094716,-0.0564039,0.00851379,-52.0283,46.3078,22.4648,-27.0169,-0.921036
Mon Feb  5 12:24:36 2018,4780887,760.125,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4914,12,1202,0,16,62,4.707,-2.08774,-9.39485,-0.0798168,-0.0436332,-0.0372479,-52.0283,46.3078,22.4648,-26.0627,-0.949694
Mon Feb  5 12:24:36 2018,4790888,760.125,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4914,12,1202,0,16,62,4.97515,-2.05422,-9.36133,-0.0915233,-0.0234129,-0.071303,-52.0283,46.3078,22.4648,-27.4341,-0.968902
Mon Feb  5 12:24:36 2018,4800889,760.125,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4908,16,1208,0,16,58,5.14753,-1.05824,-9.11233,-0.104294,-0.0170276,-0.0659819,-52.0283,46.3078,22.4648,-29.2979,-0.980487
Mon Feb  5 12:24:36 2018,4810890,761.724,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4908,16,1208,0,16,58,5.20021,-0.263362,-8.81545,-0.0840737,-0.0106422,-0.0532112,-52.0283,46.3078,22.4648,-30.525,-0.988414
Mon Feb  5 12:24:36 2018,4820891,761.724,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4914,14,1210,0,16,58,5.20021,-0.392649,-8.50899,-0.071303,-0.0170276,-0.0393763,-52.0283,46.3078,22.4648,-31.4038,-0.996341
Mon Feb  5 12:24:36 2018,4830892,761.724,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4914,14,1210,0,16,58,5.39174,-0.588974,-8.54251,-0.0798168,-0.00744957,-0.0106422,-52.0283,46.3078,22.4648,-32.1974,-1.00335
Mon Feb  5 12:24:36 2018,4840893,761.724,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4906,16,1210,0,62,24,5.50666,-0.512359,-8.4659,-0.0862022,-0.0212845,0.0212845,-52.0283,46.3078,22.4648,-32.9942,-1.01158
Mon Feb  5 12:24:36 2018,4850894,761.794,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4906,16,1210,0,62,24,5.37738,-0.416591,-8.59997,-0.0787526,-0.0266056,0.0468259,-52.0283,46.3078,22.4648,-31.9867,-1.0253
Mon Feb  5 12:24:36 2018,4860895,761.794,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4918,12,1202,0,16,60,5.18105,-0.708684,-8.58561,-0.0627892,-0.0297983,0.0627892,-52.0283,46.3078,22.4648,-31.0232,-1.04146
Mon Feb  5 12:24:36 2018,4870896,761.794,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4918,12,1202,0,16,60,4.98952,-1.1157,-8.96868,-0.0574681,-0.0202203,0.0649177,-52.0283,46.3078,22.4648,-28.9018,-1.05579
Mon Feb  5 12:24:36 2018,4880897,761.794,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4914,14,1206,0,64,24,5.08528,-1.25456,-9.06445,-0.0489543,-0.0287341,0.0606608,-52.0283,46.3078,22.4648,-29.0617,-1.06982
Mon Feb  5 12:24:36 2018,4890898,761.794,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4914,14,1206,0,64,24,5.10444,-1.26893,-9.10275,-0.0340552,-0.0308625,0.0542754,-52.0283,46.3078,22.4648,-29.0472,-1.08689
Mon Feb  5 12:24:36 2018,4900899,761.794,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4912,14,1210,0,60,62,5.14275,-1.36469,-8.82982,-0.0180918,-0.0255414,0.0361836,-52.0283,46.3078,22.4648,-29.9245,-1.10305
Mon Feb  5 12:24:36 2018,4910900,759.43,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4912,14,1210,0,60,62,5.25767,-1.28808,-8.83939,0.0042569,-0.0148991,0.0255414,-52.0283,46.3078,22.4648,-30.4804,-1.11463
Mon Feb  5 12:24:36 2018,4920901,759.43,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4916,14,1208,0,16,60,5.26724,-1.33596,-8.80587,0.0223487,-0.00851379,0.0106422,-52.0283,46.3078,22.4648,-30.5994,-1.12134
Mon Feb  5 12:24:36 2018,4930902,759.43,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4916,14,1208,0,16,60,5.21936,-1.24977,-8.85855,0.0361836,0.00106422,-0.00638535,-52.0283,46.3078,22.4648,-30.2598,-1.12347
Mon Feb  5 12:24:36 2018,4940903,759.43,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4916,12,1200,0,16,26,5.23372,-1.23062,-8.91122,0.0415047,0.00532112,-0.00957802,-52.0283,46.3078,22.4648,-30.1907,-1.12165
Mon Feb  5 12:24:36 2018,4950904,759.074,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4916,12,1200,0,16,26,5.17148,-0.972046,-8.71968,0.052147,0.00319267,-0.0148991,-52.0283,46.3078,22.4648,-30.5164,-1.11921
Mon Feb  5 12:24:36 2018,4960905,759.074,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4912,16,1210,0,16,60,5.10444,-0.986411,-8.71489,0.0595966,0.00957802,-0.0148991,-52.0283,46.3078,22.4648,-30.1993,-1.11555
Mon Feb  5 12:24:36 2018,4970906,759.074,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4912,16,1210,0,16,60,5.05177,-0.957681,-8.91601,0.0542754,-0.00212845,-0.0159634,-52.0283,46.3078,22.4648,-29.3949,-1.11341
Mon Feb  5 12:24:36 2018,4980907,759.074,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4912,14,1200,0,62,24,5.10444,-1.00078,-8.69574,0.0510828,-0.00638535,-0.00744957,-52.0283,46.3078,22.4648,-30.2488,-1.11585
Mon Feb  5 12:24:36 2018,4990908,759.074,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4912,14,1200,0,62,24,5.20499,-1.01993,-8.7532,0.0500185,-0.0138349,-0.00851379,-52.0283,46.3078,22.4648,-30.5679,-1.12165
Mon Feb  5 12:24:36 2018,5000909,759.074,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4884,14,1196,0,62,24,5.30076,-0.981623,-8.71968,0.0436332,-0.0138349,0,-52.0283,47.3484,23.7961,-31.1358,-1.12957
Mon Feb  5 12:24:36 2018,5010910,761.637,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4884,14,1196,0,62,24,5.23372,-0.952892,-8.82024,0.042569,-0.0117065,0.00212845,-52.0283,47.3484,23.7961,-30.5382,-1.13689
Mon Feb  5 12:24:36 2018,5020911,761.637,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4896,16,1206,0,60,62,5.25288,-1.06781,-8.89207,0.0415047,-0.00532112,0.00744957,-52.0283,47.3484,23.7961,-30.3926,-1.14177
