today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2], pitch1, pitch2
Mon Feb  5 12:08:47 2018,4655792,759.648,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4930,14,1204,0,60,24,0.0143652,0.177171,-10.3382,0.00212845,-0.019156,0.00744957,-36.9902,45.7875,42.2672,-0.0796026,-0.380487,
Mon Feb  5 12:08:47 2018,4665793,759.648,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4930,14,1204,0,60,24,-0.0143652,0.220267,-10.1514,0.0042569,-0.019156,0.0106422,-36.9902,45.7875,42.2672,0.0810598,-0.391463,
Mon Feb  5 12:08:47 2018,4675794,759.648,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4920,12,1204,0,60,62,0.0574608,0.272939,-10.2089,-0.00212845,-0.0159634,0.00744957,-36.9902,45.7875,42.2672,-0.322372,-0.401524,
Mon Feb  5 12:08:47 2018,4685795,759.648,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4920,12,1204,0,60,62,0.172383,0.138864,-10.252,-0.00106422,-0.0127707,0.00638535,-36.9902,45.7875,42.2672,-0.963225,-0.409756,
Mon Feb  5 12:08:47 2018,4695800,759.648,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4920,12,1204,0,60,60,0.0622492,0.167594,-10.3238,0.00532112,-0.00957802,0.00851379,-36.9902,45.7875,42.2672,-0.345426,-0.416158,
Mon Feb  5 12:08:47 2018,4705801,759.561,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4920,12,1212,0,16,60,0.0909797,0.248997,-10.1849,0.00638535,-0.0159634,0.00851379,-36.9902,45.7875,42.2672,-0.511643,-0.423475,
Mon Feb  5 12:08:47 2018,4715808,759.561,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4920,12,1212,0,16,60,0.0766145,0.244209,-10.1658,0.00532112,-0.0159634,0.0042569,-36.9902,45.7875,42.2672,-0.431677,-0.432622,
Mon Feb  5 12:08:47 2018,4725815,759.561,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4920,14,1202,0,62,24,0.071826,0.186748,-10.4052,0.00319267,-0.0138349,0.0106422,-36.9902,45.7875,42.2672,-0.395437,-0.441158,
Mon Feb  5 12:08:47 2018,4735816,759.561,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4920,14,1202,0,62,24,0.114922,0.234632,-10.3573,0.00106422,-0.0159634,0.00638535,-36.9902,45.7875,42.2672,-0.635548,-0.449695,
Mon Feb  5 12:08:47 2018,4745817,758.666,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4926,16,1204,0,60,62,0.0861913,0.196325,-10.319,0.00532112,-0.0138349,0.0127707,-36.9902,45.7875,42.2672,-0.478475,-0.458231,
Mon Feb  5 12:08:47 2018,4755818,758.666,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4918,14,1202,0,58,24,0.0861913,0.220267,-10.228,0.00532112,-0.0117065,0.0042569,-34.0518,44.2266,44.0977,-0.482706,-0.465548,
Mon Feb  5 12:08:47 2018,4765819,758.666,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4918,14,1202,0,58,24,0.0526724,0.196325,-10.3334,0.00532112,-0.0148991,0.0117065,-34.0518,44.2266,44.0977,-0.291999,-0.47317,
Mon Feb  5 12:08:47 2018,4775826,758.666,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4916,14,1208,0,16,62,0.023942,0.229843,-10.3046,0.00212845,-0.00744957,0.00638535,-34.0518,44.2266,44.0977,-0.133089,-0.479573,
Mon Feb  5 12:08:47 2018,4785827,758.666,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4916,14,1208,0,16,62,0.158017,0.191536,-10.3717,0.00106422,-0.0138349,0.00744957,-34.0518,44.2266,44.0977,-0.872711,-0.48567,
Mon Feb  5 12:08:47 2018,4795828,758.666,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4920,12,1202,0,62,64,0.0670376,0.124498,-10.3525,0,-0.0127707,0.0117065,-34.0518,44.2266,44.0977,-0.370986,-0.493292,
Mon Feb  5 12:08:47 2018,4805829,759.178,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4920,12,1202,0,62,64,-0.0143652,0.201113,-10.3382,0.00851379,-0.0170276,0.0117065,-34.0518,44.2266,44.0977,0.0795992,-0.501829,
Mon Feb  5 12:08:47 2018,4815830,759.178,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4920,12,1212,0,16,60,-0.0191536,0.258574,-10.2903,0.00532112,-0.0148991,0.00957802,-34.0518,44.2266,44.0977,0.106613,-0.510975,
Mon Feb  5 12:08:47 2018,4825837,759.178,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4920,12,1212,0,16,60,0.0766145,0.196325,-10.252,0.00106422,-0.0127707,0.00638535,-34.0518,44.2266,44.0977,-0.428093,-0.518902,
Mon Feb  5 12:08:47 2018,4835839,759.178,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4920,14,1212,0,60,60,0.0430956,0.201113,-10.2089,0.00532112,-0.0127707,0.0042569,-34.0518,44.2266,44.0977,-0.241819,-0.526219,
Mon Feb  5 12:08:47 2018,4845840,760.091,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4920,14,1212,0,60,60,0.105345,0.205901,-10.2855,0,-0.0223487,0.00744957,-34.0518,44.2266,44.0977,-0.58669,-0.53628,
