today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2], pitch1, pitch2
Mon Feb  5 12:15:53 2018,4759890,758.64,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4924,8,1202,0,58,24,-2.22182,0.92895,-9.74919,0.751342,-0.535305,-0.0117065,-16.0752,33.8203,48.757,12.7823,-16.0479,
Mon Feb  5 12:15:53 2018,4769891,758.64,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4914,16,1210,0,58,62,-2.42772,0.665588,-9.79228,0.750278,-0.518277,0.00212845,-16.0752,33.8203,48.757,13.8933,-16.3497,
Mon Feb  5 12:15:53 2018,4779892,758.64,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4914,16,1210,0,58,62,-2.92093,0.593762,-9.52892,0.7407,-0.518277,0.019156,-16.0752,33.8203,48.757,17.0109,-16.6466,
Mon Feb  5 12:15:53 2018,4789893,758.64,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4928,12,1212,0,58,24,-2.69108,0.861913,-9.58638,0.725801,-0.535305,0.0266056,-16.0752,33.8203,48.757,15.6205,-16.9485,
Mon Feb  5 12:15:53 2018,4799894,758.64,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4928,12,1212,0,58,24,-2.75333,0.986411,-10.0556,0.716223,-0.557654,0.0287341,-16.0752,33.8203,48.757,15.2431,-17.2616,
Mon Feb  5 12:15:53 2018,4809903,757.719,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4926,16,1212,0,16,62,-3.16513,0.876278,-9.40442,0.69281,-0.555525,0.0404405,-16.0752,33.8203,48.757,18.5263,-17.5805,
Mon Feb  5 12:15:53 2018,4819904,757.719,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4926,16,1212,0,16,62,-3.37582,1.13964,-10.07,0.647048,-0.54169,0.0266056,-16.0752,33.8203,48.757,18.4234,-17.8948,
Mon Feb  5 12:15:53 2018,4829905,757.719,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4926,12,1212,0,16,60,-3.23696,0.895431,-9.71088,0.632149,-0.56936,-0.0138349,-16.0752,33.8203,48.757,18.3623,-18.2131,
Mon Feb  5 12:15:53 2018,4839906,757.719,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4926,12,1212,0,16,60,-3.20823,-0.0574608,-9.414,0.612993,-0.565103,-0.0404405,-16.0752,33.8203,48.757,18.8185,-18.5381,
Mon Feb  5 12:15:53 2018,4849907,758.709,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4930,12,1202,0,60,24,-3.02627,-0.349553,-9.7875,0.528919,-0.574681,-0.0244772,-16.0752,33.8203,48.757,17.1712,-18.8646,
Mon Feb  5 12:15:53 2018,4859908,758.709,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4930,12,1202,0,60,24,-3.10767,0.229843,-9.46188,0.475708,-0.581066,-0.0180918,-16.0752,33.8203,48.757,18.1773,-19.1957,
Mon Feb  5 12:15:53 2018,4869909,758.709,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4928,12,1208,0,16,62,-3.10767,0.0861913,-9.6199,0.441653,-0.568296,-0.0148991,-16.0752,33.8203,48.757,17.9022,-19.525,
Mon Feb  5 12:15:53 2018,4879910,758.709,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4928,12,1208,0,16,62,-3.27048,0.0383072,-9.56244,0.375671,-0.578938,0.00319267,-16.0752,33.8203,48.757,18.8812,-19.8536,
Mon Feb  5 12:15:53 2018,4889911,758.709,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4926,16,1206,0,60,60,-3.41413,0.426168,-9.3709,0.317139,-0.575745,0.0042569,-16.0752,33.8203,48.757,19.9993,-20.1844,
Mon Feb  5 12:15:53 2018,4899912,758.709,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4926,16,1206,0,60,60,-3.48117,0.105345,-9.22725,0.289469,-0.557654,-0.0159634,-16.0752,33.8203,48.757,20.6688,-20.5091,
Mon Feb  5 12:15:53 2018,4909913,759.17,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4924,14,1204,0,60,60,-3.49075,-0.153229,-9.40442,0.236258,-0.550204,-0.0266056,-16.0752,33.8203,48.757,20.3615,-20.8265,
Mon Feb  5 12:15:53 2018,4919914,759.17,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4924,14,1204,0,60,60,-3.61524,0.148441,-9.02135,0.188368,-0.540626,-0.0308625,-16.0752,33.8203,48.757,21.8354,-21.139,
Mon Feb  5 12:15:53 2018,4929915,759.17,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4928,14,1210,0,60,24,-3.66792,0.411803,-9.43315,0.150056,-0.527855,-0.0478901,-16.0752,33.8203,48.757,21.2293,-21.4451,
Mon Feb  5 12:15:53 2018,4939916,759.17,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4928,14,1210,0,60,24,-3.80199,0.426168,-9.165,0.120257,-0.533176,-0.0553397,-16.0752,33.8203,48.757,22.5086,-21.7491,
Mon Feb  5 12:15:53 2018,4949917,759.865,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4920,14,1202,0,60,62,-3.74932,0.148441,-9.44273,0.0925875,-0.531048,-0.0564039,-16.0752,33.8203,48.757,21.6536,-22.0539,
Mon Feb  5 12:15:53 2018,4959918,759.865,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4920,14,1202,0,60,62,-3.57215,-0.0574608,-9.36612,0.0446974,-0.533176,-0.0415047,-16.0752,33.8203,48.757,20.876,-22.3588,
Mon Feb  5 12:15:53 2018,4969919,759.865,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4930,12,1204,0,16,24,-3.62482,0,-9.43794,0.0159634,-0.52147,-0.0436332,-16.0752,33.8203,48.757,21.0102,-22.661,
Mon Feb  5 12:15:53 2018,4979920,759.865,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4930,12,1204,0,16,24,-3.73974,0.047884,-9.45231,0.0148991,-0.508699,-0.0532112,-16.0752,33.8203,48.757,21.5857,-22.9561,
Mon Feb  5 12:15:53 2018,4989921,759.865,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4926,8,1202,0,16,62,-3.7589,-0.0861913,-9.24641,-0.00106422,-0.488479,-0.0574681,-16.0752,33.8203,48.757,22.1221,-23.2417,
Mon Feb  5 12:15:53 2018,4999922,759.865,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4926,8,1202,0,16,62,-4.07972,0.306458,-9.13627,-0.0244772,-0.481029,-0.0532112,-6.91406,38.85,51.5859,24.0507,-23.5195,
Mon Feb  5 12:15:53 2018,5009923,758.214,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4924,12,1202,0,16,60,-4.38139,0.90022,-8.81066,-0.0276698,-0.472516,-0.061725,-6.91406,38.85,51.5859,26.3219,-23.7927,
Mon Feb  5 12:15:53 2018,5019924,758.214,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4924,12,1202,0,16,60,-4.34308,0.905008,-9.00699,-0.0117065,-0.470387,-0.0904591,-6.91406,38.85,51.5859,25.6305,-24.0628,
Mon Feb  5 12:15:53 2018,5029925,758.214,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4926,12,1210,0,62,24,-4.22816,0.636858,-8.91601,-0.0159634,-0.470387,-0.0989729,-6.91406,38.85,51.5859,25.3149,-24.3323,
Mon Feb  5 12:15:53 2018,5039933,758.214,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4926,12,1210,0,62,24,-4.01268,0.344765,-9.21289,-0.0266056,-0.464002,-0.0957802,-6.91406,38.85,51.5859,23.5209,-24.6,
Mon Feb  5 12:15:53 2018,5049934,759.804,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4926,8,1210,0,60,24,-3.85466,0.110133,-9.28471,-0.0287341,-0.450167,-0.0968444,-6.91406,38.85,51.5859,22.545,-24.8619,
Mon Feb  5 12:15:53 2018,5059935,759.804,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4926,8,1210,0,60,24,-3.94086,-0.0335188,-9.3326,-0.0415047,-0.436332,-0.0936517,-6.91406,38.85,51.5859,22.8926,-25.1158,
Mon Feb  5 12:15:53 2018,5069936,759.804,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4940,14,1202,0,58,62,-4.19464,0.177171,-9.19373,-0.0436332,-0.42569,-0.0893948,-6.91406,38.85,51.5859,24.5208,-25.3628,
Mon Feb  5 12:15:53 2018,5079937,759.804,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4940,14,1202,0,58,62,-4.30477,0.301669,-9.11233,-0.0436332,-0.432075,-0.0989729,-6.91406,38.85,51.5859,25.2745,-25.6085,
Mon Feb  5 12:15:53 2018,5089938,759.804,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4930,12,1202,0,16,24,-4.3766,0.407014,-8.98783,-0.0468259,-0.436332,-0.0989729,-6.91406,38.85,51.5859,25.9405,-25.8573,
Mon Feb  5 12:15:53 2018,5099939,759.804,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4930,12,1202,0,16,24,-4.52504,0.593762,-9.17458,-0.0468259,-0.444846,-0.0989729,-6.91406,38.85,51.5859,26.2057,-26.1097,
Mon Feb  5 12:15:53 2018,5109940,759.9,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4924,16,1208,0,58,62,-4.2521,0.215478,-9.07402,-0.0393763,-0.443782,-0.094716,-6.91406,38.85,51.5859,25.1017,-26.3643,
Mon Feb  5 12:15:53 2018,5119941,759.9,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4924,16,1208,0,58,62,-4.15633,-0.114922,-9.11233,-0.042569,-0.441653,-0.0830095,-6.91406,38.85,51.5859,24.517,-26.618,
Mon Feb  5 12:15:53 2018,5129942,759.9,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4914,8,1210,0,60,24,-4.2952,-0.047884,-9.24641,-0.0532112,-0.42569,-0.0681104,-6.91406,38.85,51.5859,24.9158,-26.8664,
