today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2], pitch1, pitch2
Mon Feb  5 12:05:44 2018,4644856,758.457,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4832,16,1194,0,64,24,0.0622492,0.244209,-10.3908,0,-0.0170276,0.0117065,-32.4961,41.625,39.9375,-0.343148,0.0603658,
Mon Feb  5 12:05:44 2018,4654857,758.457,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4840,16,1192,0,60,24,0.124498,0.158017,-10.094,0.0106422,-0.0117065,0.00851379,-32.4961,41.625,39.9375,-0.706562,0.0634146,
Mon Feb  5 12:05:44 2018,4664858,758.457,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4840,16,1192,0,60,24,0.177171,0.143652,-10.3142,0.00638535,-0.0159634,0.0106422,-32.4961,41.625,39.9375,-0.983997,0.0682926,
Mon Feb  5 12:05:44 2018,4674859,758.457,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4838,14,1200,0,16,62,0.0766145,0.296881,-10.228,0,-0.0138349,0.00957802,-32.4961,41.625,39.9375,-0.428993,0.0701219,
Mon Feb  5 12:05:44 2018,4684860,758.457,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4838,14,1200,0,16,62,0.0574608,0.191536,-10.2663,0.0042569,-0.0148991,0.00744957,-32.4961,41.625,39.9375,-0.320626,0.0713414,
Mon Feb  5 12:05:44 2018,4694861,758.457,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4846,14,1194,0,16,60,0.0861913,0.162806,-10.2568,0.00106422,-0.0117065,0.0106422,-32.4961,41.625,39.9375,-0.481405,0.0728658,
Mon Feb  5 12:05:44 2018,4704862,757.249,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4846,14,1194,0,16,60,0.071826,0.220267,-10.4196,0.00744957,-0.0148991,0.00744957,-32.4961,41.625,39.9375,-0.394867,0.0753048,
Mon Feb  5 12:05:44 2018,4714863,757.249,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4838,18,1192,0,62,62,0.00957681,0.191536,-10.228,0.00532112,-0.00957802,0.00319267,-32.4961,41.625,39.9375,-0.0536383,0.0789633,
Mon Feb  5 12:05:44 2018,4724864,757.249,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4838,18,1192,0,62,62,0.00957681,0.215478,-10.1945,0.00744957,-0.0148991,0.0117065,-32.4961,41.625,39.9375,-0.0538121,0.0826219,
Mon Feb  5 12:05:44 2018,4734865,757.249,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4836,16,1192,0,16,24,0.0766145,0.220267,-10.1945,0.00638535,-0.0202203,0.00638535,-32.4961,41.625,39.9375,-0.430484,0.0865853,
Mon Feb  5 12:05:44 2018,4744866,759.048,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4836,16,1192,0,16,24,0.00957681,0.138864,-10.1466,0.0042569,-0.0159634,0.00532112,-32.4961,41.625,39.9375,-0.0540731,0.0896341,
Mon Feb  5 12:05:44 2018,4754867,759.048,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4892,20,1206,0,60,24,0.0622492,0.205901,-10.3621,0.00319267,-0.0127707,0.00638535,-32.4961,41.625,39.9375,-0.344126,0.0917682,
Mon Feb  5 12:05:44 2018,4764868,759.048,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4892,20,1206,0,60,24,0.0191536,0.201113,-10.319,0,-0.0127707,0.00744957,-32.4961,41.625,39.9375,-0.106329,0.0926828,
Mon Feb  5 12:05:44 2018,4774869,759.048,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4846,16,1200,0,58,24,0.0143652,0.191536,-10.1514,0.00532112,-0.0106422,0.0127707,-32.4961,41.625,39.9375,-0.0810645,0.0942072,
Mon Feb  5 12:05:44 2018,4784870,759.048,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4846,16,1200,0,58,24,0.138864,0.234632,-10.1993,-0.00106422,-0.0138349,0.00957802,-32.4961,41.625,39.9375,-0.779829,0.0954268,
Mon Feb  5 12:05:44 2018,4794871,759.048,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4842,16,1200,0,60,22,0.105345,0.272939,-10.2615,0.00212845,-0.0180918,0.00532112,-32.4961,41.625,39.9375,-0.587969,0.0957316,
Mon Feb  5 12:05:44 2018,4804872,757.336,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4842,16,1200,0,60,22,0.105345,0.220267,-10.3142,0.00532112,-0.0159634,0.0117065,-32.4961,41.625,39.9375,-0.58504,0.0978658,
Mon Feb  5 12:05:44 2018,4814873,757.336,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4842,18,1192,0,16,62,0.0287304,0.0957681,-10.2137,0.00532112,-0.0148991,0.00957802,-32.4961,41.625,39.9375,-0.161162,0.100915,
Mon Feb  5 12:05:44 2018,4824874,757.336,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4842,18,1192,0,16,62,0.134075,0.244209,-10.3525,0.00212845,-0.0148991,0.0138349,-32.4961,41.625,39.9375,-0.741788,0.103049,
Mon Feb  5 12:05:44 2018,4834875,757.336,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4840,16,1192,0,16,24,-0.0191536,0.277727,-10.3621,0.00212845,-0.0159634,0.0106422,-32.4961,41.625,39.9375,0.105869,0.104268,
Mon Feb  5 12:05:44 2018,4844876,757.588,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4840,16,1192,0,16,24,0.023942,0.0957681,-10.1658,0.00638535,-0.0138349,0.00319267,-32.4961,41.625,39.9375,-0.134934,0.106707,
Mon Feb  5 12:05:44 2018,4854877,757.588,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4836,14,1200,0,60,24,0,0.220267,-10.4291,-0.00212845,-0.0180918,0.00957802,-32.4961,41.625,39.9375,-0,0.107927,
Mon Feb  5 12:05:44 2018,4864878,757.588,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4836,14,1200,0,60,24,0.0909797,0.234632,-10.2615,-0.00212845,-0.0148991,0.00851379,-32.4961,41.625,39.9375,-0.507843,0.106707,
Mon Feb  5 12:05:44 2018,4874879,757.588,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4842,16,1192,0,16,24,0.162806,0.129287,-10.1945,0.00744957,-0.0170276,0.00638535,-32.4961,41.625,39.9375,-0.914859,0.108232,
Mon Feb  5 12:05:44 2018,4884880,757.588,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4842,16,1192,0,16,24,0.114922,0.114922,-10.319,-0.00106422,-0.0138349,0.00532112,-32.4961,41.625,39.9375,-0.638031,0.110061,
Mon Feb  5 12:05:44 2018,4894881,757.588,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4842,16,1194,0,16,62,0.0957681,0.292093,-10.1849,-0.00106422,-0.0138349,0.00851379,-32.4961,41.625,39.9375,-0.53851,0.109451,
Mon Feb  5 12:05:44 2018,4904882,757.762,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4842,16,1194,0,16,62,0.0670376,0.292093,-10.2855,0.00532112,-0.00957802,0.00638535,-32.4961,41.625,39.9375,-0.37328,0.110671,
Mon Feb  5 12:05:44 2018,4914883,757.762,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4838,18,1200,0,16,62,0.100556,0.162806,-10.386,0.00638535,-0.0127707,0.0042569,-32.4961,41.625,39.9375,-0.554645,0.114024,
Mon Feb  5 12:05:44 2018,4924884,757.762,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4838,18,1200,0,16,62,-0.00957681,0.143652,-10.1801,-0.00319267,-0.0106422,0.00638535,-32.4961,41.625,39.9375,0.0538947,0.114939,
Mon Feb  5 12:05:44 2018,4934885,757.762,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4842,16,1194,0,16,62,0.071826,0.153229,-10.2807,0.00106422,-0.0138349,0.00638535,-32.4961,41.625,39.9375,-0.400246,0.114329,
Mon Feb  5 12:05:44 2018,4944886,758.153,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4842,16,1194,0,16,62,0.0909797,0.272939,-10.5249,0.0042569,-0.0138349,0.0127707,-32.4961,41.625,39.9375,-0.495099,0.115854,
Mon Feb  5 12:05:44 2018,4954887,758.153,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4882,16,1200,0,16,62,-0.0191536,0.143652,-10.1562,-0.00106422,-0.0170276,0.0138349,-32.4961,41.625,39.9375,0.108043,0.116768,
Mon Feb  5 12:05:44 2018,4964888,758.153,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4882,16,1200,0,16,62,0,0.172383,-10.3046,0.00638535,-0.0159634,0.00744957,-32.4961,41.625,39.9375,-0,0.118293,
Mon Feb  5 12:05:44 2018,4974889,758.153,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4838,14,1198,0,16,60,0.263362,0.196325,-10.2807,0.00106422,-0.0159634,0.00532112,-32.4961,41.625,39.9375,-1.46717,0.120427,
Mon Feb  5 12:05:44 2018,4984890,758.153,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4838,14,1198,0,16,60,0.0861913,0.292093,-10.2328,-0.00532112,-0.0170276,0.00319267,-32.4961,41.625,39.9375,-0.482396,0.119207,
Mon Feb  5 12:05:44 2018,4994891,758.153,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4830,14,1192,0,62,26,0.0766145,0.21069,-10.3669,0.00212845,-0.0138349,0.00638535,-32.4961,41.625,39.9375,-0.423338,0.118293,
Mon Feb  5 12:05:44 2018,5004892,759.456,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4830,14,1192,0,62,26,0.0766145,0.215478,-10.1897,-0.00106422,-0.0159634,0.00532112,-32.3232,41.1047,40.7695,-0.430691,0.118597,
Mon Feb  5 12:05:44 2018,5014893,759.456,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4802,18,1188,0,62,26,0.0287304,0.191536,-10.3286,0,-0.0159634,0.0117065,-32.3232,41.1047,40.7695,-0.159349,0.118293,
Mon Feb  5 12:05:44 2018,5024894,759.456,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4802,18,1188,0,62,26,0.258574,0.268151,-10.1993,-0.00106422,-0.0117065,0.00319267,-32.3232,41.1047,40.7695,-1.45176,0.117988,
Mon Feb  5 12:05:44 2018,5034895,759.456,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4876,18,1200,0,16,62,0.0191536,0.191536,-10.1849,0,-0.0148991,0.00638535,-32.3232,41.1047,40.7695,-0.10773,0.117683,
Mon Feb  5 12:05:44 2018,5044896,757.953,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4876,18,1200,0,16,62,0.0430956,0.225055,-10.2615,-0.00212845,-0.0127707,0.00744957,-32.3232,41.1047,40.7695,-0.240567,0.117073,
Mon Feb  5 12:05:44 2018,5054897,757.953,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4870,18,1196,0,16,24,-0.0191536,0.292093,-10.1658,-0.00106422,-0.0127707,0.00957802,-32.3232,41.1047,40.7695,0.107908,0.116158,
Mon Feb  5 12:05:44 2018,5064898,757.953,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4870,18,1196,0,16,24,0.0861913,0.172383,-10.3142,0.00212845,-0.0127707,0.0127707,-32.3232,41.1047,40.7695,-0.478717,0.116463,
Mon Feb  5 12:05:44 2018,5074899,757.953,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4872,16,1202,0,16,60,0.0766145,0.153229,-10.252,0.00319267,-0.0159634,0.00957802,-32.3232,41.1047,40.7695,-0.428124,0.117988,
Mon Feb  5 12:05:44 2018,5084900,757.953,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4872,16,1202,0,16,60,-0.0047884,0.143652,-10.3094,-0.00212845,-0.019156,0.0106422,-32.3232,41.1047,40.7695,0.0266095,0.118293,
Mon Feb  5 12:05:44 2018,5094901,757.953,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4872,14,1206,0,16,60,0.191536,0.272939,-10.3573,0.00212845,-0.0148991,0.0042569,-32.3232,41.1047,40.7695,-1.05907,0.118293,
Mon Feb  5 12:05:44 2018,5104902,757.371,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4872,14,1206,0,16,60,0.0574608,0.244209,-10.3286,0.00319267,-0.0138349,0.0042569,-32.3232,41.1047,40.7695,-0.31866,0.119817,
Mon Feb  5 12:05:44 2018,5114903,757.371,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4884,16,1204,0,16,24,-0.00957681,0.21069,-10.2041,0.0042569,-0.0127707,0.00744957,-32.3232,41.1047,40.7695,0.0537621,0.121951,
