today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt
Thu Sep 19 07:02:46 2019,4639233,950.65,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5004,0,14,20,16,66,0.258574,-0.0909797,-9.68215,0.0234129,-0.00106422,0.0042569,-23.6414,40.0131,18.2725,1.52979,12.3189,0.687416,0.900005,1.58742,
Thu Sep 19 07:02:46 2019,4649234,950.65,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5000,0,24,8,64,26,0.0622492,0.158017,-9.68215,-0.00532112,-0.00212845,0.0212845,-23.6414,40.0131,18.2725,0.368366,12.6057,0.697924,0.846844,1.54477,
Thu Sep 19 07:02:46 2019,4659235,950.65,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5000,0,24,8,64,26,0.0957681,0.306458,-9.57202,0.0042569,0.00212845,-0.0117065,-23.6414,40.0131,18.2725,0.573226,12.891,0.707586,0.793546,1.50113,
Thu Sep 19 07:02:46 2019,4669236,950.65,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5000,0,10,18,18,62,0.225055,-0.177171,-9.50498,0.0266056,0,-0.0117065,-23.6414,40.0131,18.2725,1.35637,13.178,0.716465,0.743532,1.46,
Thu Sep 19 07:02:46 2019,4679237,950.52,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5000,0,10,18,18,62,0.248997,-0.047884,-9.69173,0.0202203,-0.0117065,0.0446974,-23.6414,40.0131,18.2725,1.4717,13.4679,0.726374,0.697586,1.42396,
Thu Sep 19 07:02:46 2019,4689238,950.52,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5002,0,10,20,20,64,-0.138864,0.23942,-10.1131,-0.0212845,-0.0266056,0.0212845,-23.6414,40.0131,18.2725,-0.786683,13.7586,0.736015,0.653786,1.3898,
Thu Sep 19 07:02:46 2019,4699239,950.52,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5002,0,10,20,20,64,-0.0670376,0.3304,-9.73961,0.00106422,0,-0.0510828,-23.6414,40.0131,18.2725,-0.39436,14.0375,0.74159,0.599866,1.34146,
Thu Sep 19 07:02:46 2019,4709240,950.52,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5006,0,22,8,62,26,0.3304,-0.100556,-9.68694,0.019156,0.0170276,-0.0159634,-23.6414,40.0131,18.2725,1.95347,14.3191,0.744249,0.550889,1.29514,
Thu Sep 19 07:02:46 2019,4719241,950.415,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5006,0,22,8,62,26,0.21069,-0.0383072,-9.51935,0.00638535,-0.00638535,0.0255414,-23.6414,40.0131,18.2725,1.26791,14.6123,0.748383,0.515076,1.26346,
Thu Sep 19 07:02:46 2019,4729242,950.415,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5008,0,22,10,62,28,-0.0622492,0.181959,-9.59596,0.0042569,-0.00851379,-0.0212845,-23.6414,40.0131,18.2725,-0.371674,14.8994,0.753228,0.47453,1.22776,
Thu Sep 19 07:02:46 2019,4739243,950.415,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5008,0,22,10,62,28,0.0909797,0.071826,-9.5816,-0.00212845,-0.00106422,-0.0383121,-23.6414,40.0131,18.2725,0.544022,15.1837,0.755825,0.433013,1.18884,
Thu Sep 19 07:02:46 2019,4749244,950.415,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5008,0,22,10,58,66,0.191536,0.00957681,-9.70131,0.00957802,-0.00212845,0.0138349,-23.6414,40.0131,18.2725,1.13106,15.4705,0.757092,0.395723,1.15282,
