today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt
Thu Sep 19 06:50:42 2019,4799563,948.964,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4936,0,10,20,18,66,0.158017,0.114922,-9.60075,0.00957802,-0.0042569,-0.00957802,-22.7391,36.9352,17.4023,0.942938,16.9035,0.653959,0.233637,0.887596,
Thu Sep 19 06:50:42 2019,4809564,948.964,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4942,0,22,10,64,26,0.0957681,0.11971,-9.54329,0.00638535,0,-0.00532112,-22.7391,36.9352,17.4023,0.574951,17.1887,0.658487,0.204769,0.863257,
Thu Sep 19 06:50:42 2019,4819565,949.181,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4942,0,22,10,64,26,0.110133,-0.0143652,-9.57681,0.00532112,-0.00532112,-0.0042569,-22.7391,36.9352,17.4023,0.658873,17.4768,0.662742,0.180206,0.842948,
Thu Sep 19 06:50:42 2019,4829566,949.181,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4940,0,22,8,62,24,0.105345,0.11971,-9.68694,0.00744957,-0.0042569,-0.00319267,-22.7391,36.9352,17.4023,0.623064,17.7629,0.666507,0.155302,0.821809,
Thu Sep 19 06:50:42 2019,4839567,949.181,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4940,0,22,8,62,24,0.0814029,0.0670376,-9.72525,0.0042569,0,-0.00638535,-22.7391,36.9352,17.4023,0.47957,18.0482,0.669687,0.131052,0.800739,
Thu Sep 19 06:50:42 2019,4849568,949.181,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4940,0,24,8,62,26,0.0909797,0,-9.64384,0.00744957,-0.00212845,-0.00212845,-22.7391,36.9352,17.4023,0.540511,18.3353,0.672071,0.110117,0.782189,
Thu Sep 19 06:50:42 2019,4859569,949.181,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4940,0,24,8,62,26,0.110133,0.0574608,-9.6199,0.00851379,-0.00744957,-0.00638535,-22.7391,36.9352,17.4023,0.655922,18.6233,0.673808,0.0914231,0.765231,
Thu Sep 19 06:50:42 2019,4869570,949.181,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4940,0,24,8,62,24,0.158017,0.0622492,-9.56244,0.00851379,-0.00319267,-0.00638535,-22.7391,36.9352,17.4023,0.946715,18.9085,0.675496,0.0713462,0.746842,
Thu Sep 19 06:50:42 2019,4879571,947.348,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4940,0,24,8,62,24,0.134075,0.0430956,-9.64863,0.00319267,-0.00851379,-0.00532112,-22.7391,36.9352,17.4023,0.796119,19.1965,0.677647,0.0553307,0.732978,
Thu Sep 19 06:50:42 2019,4889572,947.348,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4936,0,22,8,62,26,0.129287,0.129287,-9.76834,0.00319267,-0.00319267,-0.00638535,-22.7391,36.9352,17.4023,0.758283,19.4815,0.680169,0.0375511,0.71772,
Thu Sep 19 06:50:42 2019,4899573,947.348,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4936,0,22,8,62,26,0.162806,0.138864,-9.81144,0.00638535,-0.00744957,-0.00638535,-22.7391,36.9352,17.4023,0.950649,19.7692,0.682989,0.0237651,0.706754,
Thu Sep 19 06:50:42 2019,4909574,947.348,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4936,0,22,10,62,24,0.158017,0.047884,-9.68215,0.0042569,-0.0042569,-0.00851379,-22.7391,36.9352,17.4023,0.935012,20.0548,0.686383,0.00902021,0.695404,
Thu Sep 19 06:50:42 2019,4919575,948.634,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4936,0,22,10,62,24,0.023942,0.047884,-9.7875,0.00744957,-0.0042569,-0.0106422,-22.7391,36.9352,17.4023,0.140156,20.3412,0.689693,-0.00363024,0.686062,
Thu Sep 19 06:50:42 2019,4929576,948.634,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4938,0,22,10,62,24,0.143652,0.153229,-9.64384,0.00957802,-0.00851379,-0.0042569,-22.7391,36.9352,17.4023,0.8534,20.6289,0.692069,-0.0140246,0.678045,
Thu Sep 19 06:50:42 2019,4939577,948.634,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4938,0,22,10,62,24,0.0909797,0.0909797,-9.66779,0.00744957,-0.00106422,-0.00638535,-22.7391,36.9352,17.4023,0.539172,20.9133,0.693883,-0.0266928,0.667191,
