today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG
Thu Sep 19 06:31:22 2019,4615104,946.314,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4936,0,8,20,18,64,0.272939,0.277727,-9.68694,0.00744957,-0.00106422,-0.0138349,-22.1977,33.133,17.5764,1.61394,11.7459,
Thu Sep 19 06:31:22 2019,4625105,946.314,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4938,0,24,10,66,28,0.148441,-0.0143652,-9.60075,0.00957802,-0.00638535,-0,-22.1977,33.133,17.5764,0.8858,12.034,
Thu Sep 19 06:31:22 2019,4635106,946.314,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4938,0,24,10,66,28,0.00957681,0.0383072,-9.77792,0.00638535,-0.00212845,-0.00319267,-22.1977,33.133,17.5764,0.0561173,12.3192,
Thu Sep 19 06:31:22 2019,4645107,946.314,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4926,0,24,20,20,64,0.21069,0.153229,-9.60075,0.00638535,-0.00319267,-0.0138349,-22.1977,33.133,17.5764,1.25716,12.606,
Thu Sep 19 06:31:22 2019,4655108,946.314,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4926,0,24,20,20,64,0.0670376,0.071826,-9.67257,0.0106422,-0.00744957,-0.00212845,-22.1977,33.133,17.5764,0.397093,12.8937,
Thu Sep 19 06:31:22 2019,4665109,946.314,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4956,0,10,18,20,66,0.00957681,0.0574608,-9.76834,0.00638535,-0.00212845,-0.00744957,-22.1977,33.133,17.5764,0.0561724,13.1786,
Thu Sep 19 06:31:22 2019,4675110,947.47,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4956,0,10,18,20,66,0.162806,0.0526724,-9.7444,0.00532112,-0.00532112,-0.0117065,-22.1977,33.133,17.5764,0.957188,13.466,
Thu Sep 19 06:31:22 2019,4685111,947.47,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4934,0,8,18,18,62,0.143652,0.11971,-9.53371,0.0042569,-0.00106422,-0.00744957,-22.1977,33.133,17.5764,0.863257,13.7513,
Thu Sep 19 06:31:22 2019,4695112,947.47,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4934,0,8,18,18,62,0.0574608,0.148441,-9.48104,0.00638535,-0.00212845,-0.0106422,-22.1977,33.133,17.5764,0.347243,14.0381,
Thu Sep 19 06:31:22 2019,4705113,947.47,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4926,0,22,18,18,62,0.0574608,0.00957681,-9.58638,0.00532112,-0.00319267,-0.00638535,-22.1977,33.133,17.5764,0.343427,14.3249,
Thu Sep 19 06:31:22 2019,4715114,946.775,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4926,0,22,18,18,62,0.110133,0.105345,-9.67257,0,-0.00106422,-0.00957802,-22.7391,34.0383,18.7945,0.65235,14.6107,
Thu Sep 19 06:31:22 2019,4725115,946.775,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4934,0,22,8,66,62,0.100556,0.105345,-9.68694,0.00638535,-0.00638535,-0.00532112,-22.7391,34.0383,18.7945,0.594745,14.8987,
Thu Sep 19 06:31:22 2019,4735116,946.775,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4934,0,22,8,66,62,0.172383,0.177171,-9.63427,0.00532112,-0.00106422,-0.00638535,-22.7391,34.0383,18.7945,1.02506,15.1837,
Thu Sep 19 06:31:22 2019,4745117,946.775,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4936,0,10,20,18,62,0.114922,0.0766145,-9.49062,0.00744957,-0.00851379,-0.00744957,-22.7391,34.0383,18.7945,0.69376,15.4723,
