time,input,output,voltage
0.408,-0.3,-0.337475773334841,0.187491136005185
0.41,-0.3,-0.33440781175907,0.0415486923547254
0.412,-0.3,-0.33440781175907,0.0886756044497918
0.414,-0.3,-0.33440781175907,0.122283783528003
0.416,-0.3,-0.33440781175907,0.146428849494413
0.418,-0.3,-0.33440781175907,0.163949736282564
0.42,-0.3,-0.33440781175907,0.176833697645932
0.422,-0.3,-0.331339850183298,0.033073732423389
0.424,-0.3,-0.331339850183298,0.0816731561096356
0.426,-0.3,-0.331339850183298,0.116256869993305
0.428,-0.3,-0.331339850183298,0.141029587015172
0.43,-0.3,-0.331339850183298,0.158934606233782
0.432,-0.3,-0.331339850183298,0.172032236990107
0.434,-0.3,-0.331339850183298,0.181764695822834
0.436,-0.3,-0.328271888607527,0.035743455520479
0.438,-0.3,-0.328271888607527,0.0827047633424882
0.44,-0.3,-0.328271888607527,0.11608657281283
0.442,-0.3,-0.328271888607527,0.139962733437004
0.444,-0.3,-0.328271888607527,0.157184939868863
0.446,-0.3,-0.328271888607527,0.169749378366102
0.448,-0.3,-0.328271888607527,0.1790533793091
0.45,-0.3,-0.325203927031756,0.032676995175572
0.452,-0.3,-0.325203927031756,0.0793344790073995
0.454,-0.3,-0.325203927031756,0.112448388376249
0.456,-0.3,-0.325203927031756,0.136081795621016
0.458,-0.3,-0.325203927031756,0.153078851378926
0.46,-0.3,-0.325203927031756,0.165430461096031
0.462,-0.3,-0.325203927031756,0.174530258584578
0.464,-0.3,-0.325203927031756,0.181353787513133
0.466,-0.3,-0.325203927031756,0.186583928449694
0.468,-0.3,-0.322135965455985,0.037300619003294
0.47,-0.3,-0.322135965455985,0.0818680318077444
0.472,-0.3,-0.322135965455985,0.113463668149069
0.474,-0.3,-0.322135965455985,0.135979060966203
0.476,-0.3,-0.322135965455985,0.152138283316407
0.478,-0.3,-0.322135965455985,0.163848186339756
0.48,-0.3,-0.322135965455985,0.172443565834311
0.482,-0.3,-0.319068003880213,0.0254607000701387
0.484,-0.3,-0.319068003880213,0.0715832001437874
0.486,-0.3,-0.319068003880213,0.104212174265189
0.488,-0.3,-0.319068003880213,0.127395680220012
0.49,-0.3,-0.319068003880213,0.143967358458228
0.492,-0.3,-0.319068003880213,0.155910757294826
0.494,-0.3,-0.319068003880213,0.164614360550288
0.496,-0.3,-0.316000042304442,0.0176520281103902
0.498,-0.3,-0.316000042304442,0.063733678202666
0.5,-0.3,-0.316000042304442,0.0962788340287403
0.502,-0.3,-0.316000042304442,0.119348443868475
0.504,-0.3,-0.316000042304442,0.135785171517765
0.506,-0.3,-0.316000042304442,0.147578881633751
0.508,-0.3,-0.316000042304442,0.156122479476417
0.51,-0.3,-0.316000042304442,0.162390998727769
0.512,-0.3,-0.316000042304442,0.167066962965193
0.514,-0.3,-0.316000042304442,0.170628138692869
0.516,-0.3,-0.312932080728671,0.02001088367516
0.518,-0.3,-0.312932080728671,0.0634788646546045
0.52,-0.3,-0.312932080728671,0.0941392287933306
0.522,-0.3,-0.312932080728671,0.115834261143556
0.524,-0.3,-0.312932080728671,0.131253561241829
0.526,-0.3,-0.312932080728671,0.142279848763736
