today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],time,angDes,angAct,rateDes,rateDes_f,Kp1D,Kp2D,Kp1,Kp2,mRac
Sun Sep 23 20:13:16 2018,11100790,683.957,1518,1514,1524,1514,1088,1514,0.18779,-7.62939e-06,0.816432,-2.38419e-07,-1.90735e-06,-1.19209e-07,5158,9996,72,8,0,1090,0.0909797,0.521936,10.0173,0.00957802,-0.0383121,-0.00319267,19.0055,6.13594,-60.7031,11.1008,-1.90735e-06,16.0882,-13.1349,-0.229187,-1.76284e-06,0.000310821,-7.36769e-08,3.31846e-05,-0.000435878,
Sun Sep 23 20:13:16 2018,11110791,683.957,1518,1514,1524,1514,1088,1514,0.18779,-7.62939e-06,0.816432,-2.38419e-07,-1.90735e-06,-1.19209e-07,5158,9996,72,8,0,1090,0.0574608,0.387861,10.1801,0.00957802,-0.0351194,-0.00319267,19.0055,6.13594,-60.7031,11.1108,-1.90735e-06,16.1058,-13.1493,-0.243308,-2.42214e-06,0.000332527,-9.78984e-08,3.65098e-05,-0.00048008,
Sun Sep 23 20:13:16 2018,11120792,683.957,1518,1514,1524,1514,1088,1514,0.18779,-7.62939e-06,0.816432,-2.38419e-07,-1.90735e-06,-1.19209e-07,5160,9996,74,18,0,1088,0.0335188,0.483629,10.1706,0.00851379,-0.0255414,0.00319267,19.0055,6.13594,-60.7031,11.1208,-1.90735e-06,16.1272,-13.1668,-0.25781,-2.56105e-06,0.000352064,-1.23509e-07,4.00305e-05,-0.000527073,
Sun Sep 23 20:13:16 2018,11130793,683.957,1518,1514,1524,1514,1088,1514,0.18779,-7.62939e-06,0.816432,-2.38419e-07,-1.90735e-06,-1.19209e-07,5160,9996,74,18,0,1088,0.0191536,0.536301,10.1083,0.00638535,-0.0266056,0.00744957,19.0055,6.13594,-60.7031,11.1308,-1.90735e-06,16.1496,-13.1851,-0.272692,-2.39413e-06,0.000370771,-1.4745e-07,4.37382e-05,-0.000576693,
Sun Sep 23 20:13:16 2018,11140794,682.923,1518,1514,1524,1514,1088,1514,0.18779,-7.62939e-06,0.816432,-2.38419e-07,-1.90735e-06,-1.19209e-07,5160,9996,70,18,0,1088,-0.0143652,0.47884,10.3046,0.0106422,-0.0266056,-0.00212845,19.0055,6.13594,-60.7031,11.1408,-1.90735e-06,16.1745,-13.2054,-0.287948,-1.87942e-06,0.000388678,-1.66244e-07,4.7625e-05,-0.000628906,
Sun Sep 23 20:13:16 2018,11150795,682.923,1518,1514,1524,1514,1088,1514,0.18779,-7.62939e-06,0.816432,-2.38419e-07,-1.90735e-06,-1.19209e-07,5160,9996,70,18,0,1088,0.00957681,0.517148,10.1275,0.00851379,-0.0266056,-0.00106422,19.0055,6.13594,-60.7031,11.1508,-1.90735e-06,16.1967,-13.2235,-0.303577,-3.344e-06,0.000415509,-1.99684e-07,5.17801e-05,-0.000684717,
Sun Sep 23 20:13:16 2018,11160796,682.923,1518,1514,1524,1514,1088,1514,0.18779,-7.62939e-06,0.816432,-2.38419e-07,-1.90735e-06,-1.19209e-07,5160,9996,48,8,0,1090,0.0143652,0.464475,10.1562,0.0148991,-0.0372479,0.00212845,19.0055,6.13594,-60.7031,11.1608,-1.90735e-06,16.2169,-13.24,-0.319576,-2.79329e-06,0.000434391,-2.27617e-07,5.6124e-05,-0.000743084,
Sun Sep 23 20:13:16 2018,11170797,682.923,1518,1514,1524,1514,1088,1514,0.18779,-7.62939e-06,0.816432,-2.38419e-07,-1.90735e-06,-1.19209e-07,5160,9996,48,8,0,1090,-0.0574608,0.560243,10.1227,0.0117065,-0.0436332,0.0042569,19.0055,6.13594,-60.7031,11.1708,-1.90735e-06,16.2413,-13.2599,-0.33594,-5.2272e-06,0.00046521,-2.79889e-07,6.07761e-05,-0.00080589,
Sun Sep 23 20:13:16 2018,11180798,683.219,1518,1514,1524,1514,1088,1514,0.18779,-7.62939e-06,0.816432,-2.38419e-07,-1.90735e-06,-1.19209e-07,5166,9996,74,46,0,1092,-0.071826,0.536301,10.228,0.00744957,-0.0404405,-0.00106422,19.0055,6.13594,-60.7031,11.1808,-1.90735e-06,16.2656,-13.2798,-0.352666,-4.26552e-06,0.000483879,-3.22544e-07,6.56149e-05,-0.000871355,
Sun Sep 23 20:13:16 2018,11190799,683.219,1518,1514,1524,1514,1088,1514,0.18779,-7.62939e-06,0.816432,-2.38419e-07,-1.90735e-06,-1.19209e-07,5166,9996,74,46,0,1092,0.0287304,0.512359,10.2951,0.00957802,-0.0404405,-0,19.0055,6.13594,-60.7031,11.1908,-1.90735e-06,16.2876,-13.2977,-0.369753,-2.81e-06,0.000501593,-3.50644e-07,7.06308e-05,-0.000939231,
Sun Sep 23 20:13:16 2018,11200800,683.219,1518,1514,1524,1514,1088,1514,0.18779,-7.62939e-06,0.816432,-2.38419e-07,-1.90735e-06,-1.19209e-07,5162,9996,48,18,0,1090,0.0574608,0.526724,10.1993,0.00851379,-0.0319267,-0.00106422,19.0055,6.13594,-60.7031,11.2008,-1.90735e-06,16.308,-13.3143,-0.387196,-3.80031e-06,0.000528278,-3.88647e-07,7.59136e-05,-0.00101074,
