today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG
Thu Sep 19 06:27:12 2019,4739677,333.355,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4816,0,24,20,66,66,0.105345,0.0191536,-9.68215,0.00957802,-0.00319267,-0.00957802,-19.0453,58.7965,7.75195,-90.6234,15.1843,
Thu Sep 19 06:27:12 2019,4749678,333.355,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4808,0,24,20,64,66,0.11971,0.114922,-9.75877,0.00744957,-0.00106422,-0,-19.0453,58.7965,7.75195,-90.7029,15.4702,
Thu Sep 19 06:27:12 2019,4759679,333.355,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4808,0,24,20,64,66,0.105345,0.138864,-9.75877,0.0117065,-0.00319267,-0.0117065,-19.0453,58.7965,7.75195,-90.6186,15.7573,
Thu Sep 19 06:27:12 2019,4769680,333.355,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4816,0,22,20,62,64,0.215478,0.0574608,-9.62469,0.0106422,0.00212845,-0.00638535,-19.0453,58.7965,7.75195,-91.2826,16.0422,
Thu Sep 19 06:27:12 2019,4779681,332.642,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4816,0,22,20,62,64,0.105345,0.0957681,-9.77313,0.00638535,-0.0042569,-0.00532112,-19.0453,58.7965,7.75195,-90.6176,16.3305,
Thu Sep 19 06:27:12 2019,4789682,332.642,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4804,0,24,20,66,66,0.181959,-0.023942,-9.61033,0.0106422,0.00106422,-0.00744957,-19.0453,58.7965,7.75195,-91.0848,16.6155,
Thu Sep 19 06:27:12 2019,4799683,332.642,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4804,0,24,20,66,66,0.167594,0.0191536,-9.75877,0.00638535,0,-0.00957802,-19.0453,58.7965,7.75195,-90.984,16.9023,
Thu Sep 19 06:27:12 2019,4809684,332.642,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4842,0,24,20,62,62,0.220267,0.0430956,-9.70131,0.00851379,-0.00319267,-0.00744957,-19.0453,58.7965,7.75195,-91.3007,17.1897,
Thu Sep 19 06:27:12 2019,4819685,333.033,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4842,0,24,20,62,62,0.143652,0.071826,-9.64863,0.00744957,-0.00319267,-0.0042569,-19.0453,58.7965,7.75195,-90.8531,17.4761,
Thu Sep 19 06:27:12 2019,4829686,333.033,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4816,0,24,20,66,66,0.205901,0.11971,-9.63427,0.00638535,0,-0.00212845,-19.0453,58.7965,7.75195,-91.2244,17.7617,
Thu Sep 19 06:27:12 2019,4839687,333.033,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4816,0,24,20,66,66,0.100556,0.047884,-9.64384,0.00319267,0.00212845,-0.00212845,-19.0453,58.7965,7.75195,-90.5975,18.0476,
Thu Sep 19 06:27:12 2019,4849688,333.033,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4818,0,22,22,62,66,0.11971,0.0909797,-9.51456,0.00744957,-0.00319267,-0.00532112,-19.0453,58.7965,7.75195,-90.7209,18.3356,
Thu Sep 19 06:27:12 2019,4859689,333.033,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4818,0,22,22,62,66,0.143652,0.0191536,-9.76355,0.00744957,-0.00106422,-0.0042569,-18.9053,60.8162,7.51465,-90.843,18.6215,
Thu Sep 19 06:27:12 2019,4869690,333.033,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4820,0,24,20,66,66,0.167594,0.047884,-9.71088,0.00957802,-0.00744957,-0.00532112,-18.9053,60.8162,7.51465,-90.9888,18.9098,
Thu Sep 19 06:27:12 2019,4879691,283.706,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4820,0,24,20,66,66,0.0430956,0.0191536,-9.77313,0.0117065,0.00106422,-0.00532112,-18.9053,60.8162,7.51465,-90.2527,19.1938,
Thu Sep 19 06:27:12 2019,4889692,283.706,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4802,0,22,20,62,66,0.114922,0.071826,-9.663,0.00851379,-0.00212845,-0.00638535,-18.9053,60.8162,7.51465,-90.6815,19.4812,
Thu Sep 19 06:27:12 2019,4899693,283.706,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4802,0,22,20,62,66,0.153229,0.110133,-9.77792,0.00744957,-0.00212845,-0.00851379,-18.9053,60.8162,7.51465,-90.8979,19.7677,
Thu Sep 19 06:27:12 2019,4909694,283.706,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4794,0,22,20,64,66,0.196325,0.0861913,-9.62948,0.00957802,-0.0042569,-0.00212845,-18.9053,60.8162,7.51465,-91.168,20.0548,
Thu Sep 19 06:27:12 2019,4919695,371.526,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4794,0,22,20,64,66,0.134075,0.0143652,-9.63427,0.0106422,-0.00532112,-0.0106422,-18.9053,60.8162,7.51465,-90.7974,20.3415,
Thu Sep 19 06:27:12 2019,4929696,371.526,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4804,0,22,20,66,66,0.196325,0.114922,-9.57202,0.00851379,-0.00212845,-0.00638535,-18.9053,60.8162,7.51465,-91.1751,20.6271,
Thu Sep 19 06:27:12 2019,4939697,371.526,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4804,0,22,20,66,66,0.114922,-0.0861913,-9.56244,0.00957802,-0.00212845,-0.00319267,-18.9053,60.8162,7.51465,-90.6886,20.9136,
Thu Sep 19 06:27:12 2019,4949698,371.526,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4816,0,24,20,64,66,0.158017,0.0766145,-9.71567,0.00851379,-0.00212845,-0.00319267,-18.9053,60.8162,7.51465,-90.9319,21.2001,
Thu Sep 19 06:27:12 2019,4959699,371.526,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4816,0,24,20,64,66,0.148441,0.0383072,-9.61511,0.00638535,-0.00319267,-0.00744957,-18.9053,60.8162,7.51465,-90.8845,21.4869,
Thu Sep 19 06:27:12 2019,4969700,371.526,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4816,0,22,20,62,66,0.100556,0.0526724,-9.54808,0.00319267,-0.00212845,-0.00532112,-18.9053,60.8162,7.51465,-90.6035,21.773,
Thu Sep 19 06:27:12 2019,4979701,370.648,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4816,0,22,20,62,66,0.100556,0.047884,-9.68694,0.00638535,-0.00851379,-0.00319267,-18.9053,60.8162,7.51465,-90.5948,22.0613,
Thu Sep 19 06:27:12 2019,4989702,370.648,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4794,0,24,18,66,66,0.158017,0.0766145,-9.5816,0.0106422,-0.00106422,-0.00532112,-17.925,59.6941,7.43555,-90.9449,22.3457,
Thu Sep 19 06:27:12 2019,4999703,370.648,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4794,0,24,18,66,66,0.220267,0.0622492,-9.58638,0.00744957,-0.00212845,-0.00532112,-17.925,59.6941,7.43555,-91.3163,22.6325,
Thu Sep 19 06:27:12 2019,5009704,370.648,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4868,0,24,18,62,64,0.167594,0.143652,-9.64384,0.0106422,-0.00106422,-0.00212845,-17.925,59.6941,7.43555,-90.9957,22.9186,
Thu Sep 19 06:27:12 2019,5019705,371.821,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4868,0,24,18,62,64,0.181959,0.0526724,-9.61511,0.00212845,-0.00106422,-0.00532112,-17.925,59.6941,7.43555,-91.0842,23.2051,
Thu Sep 19 06:27:12 2019,5029706,371.821,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4818,0,22,20,62,66,0.181959,0.0909797,-9.55765,0.00744957,-0.00212845,-0.00212845,-17.925,59.6941,7.43555,-91.0907,23.4919,
