"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PSUN","TAVG","TMAX","TMIN","TOBS","TSUN"
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-05-28",,,"76","65","71",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-05-29",,,"78","65","66",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-05-30",,,"82","64","65",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-05-31",,,"75","59","68",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-06-01",,,"78","61","63",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-06-02",,,"79","63","68",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-06-03",,,"79","58","65",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-06-04",,,"81","61","62",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-06-05",,,"82","62","63",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-06-06",,,"77","63","64",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-06-07",,,"85","64","75",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-06-08",,,"88","56","57",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-06-09",,,"76","57","58",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-06-10",,,"81","58","58",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-06-11",,,"79","58","69",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-06-12",,,"78","67","68",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-06-13",,,"80","68","70",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-06-14",,,"84","67","68",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-06-15",,,"86","68","70",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-06-16",,,"88","68","70",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-06-17",,,"88","70","72",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-06-18",,,"87","70","72",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-06-19",,,"81","66","67",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-06-20",,,"84","67","70",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-06-21",,,"85","69","71",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-06-22",,,"88","71","72",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-06-23",,,"89","64","64",
