today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitch,desired pitch,roll,desired roll,yaw,desired yaw,msl,kppitch,kdpitch,kipitch,lampitch,pp,pd,pi,kproll,kdroll,kiroll,lamroll,rp,rd,ri,kpyaw,kdyaw,kiyaw,lamyaw,yp,yd,yi
Thu Oct  3 09:59:03 2019,8542806,575.718,1513,1516,1088,1514,1088,1514,0.0469513,-0.093895,0.9,0,-0.05,-1.19209e-07,5382,5538,36,16,6,28,0.54109,-0.162806,-9.61511,0.0106422,-0.0223487,0.0138349,-34.9125,6.45469,-15.2109,16.1772,-0.093895,22.3065,0.0469513,0.0138349,0,575.718,0.0022,0.00035,0.00018,-0.032061,-0.0362295,0.00529064,-0.00112207,0.0022,0.00035,0.00018,-0.0395549,-0.0497082,0.0118314,-0.00167811,0.28,0,0.03,-0.0039844,-0.00387378,0,-0.000110626,
Thu Oct  3 09:59:03 2019,8552807,575.718,1513,1516,1088,1514,1088,1514,0.0469513,-0.093895,0.9,0,-0.05,-1.19209e-07,5404,5550,36,8,30,10,0.651223,-0.229843,-9.56244,0.0042569,-0.0287341,0.00744957,-34.9125,6.45469,-15.2109,15.9795,-0.093895,21.9726,0.0469513,0.00744957,0,575.718,0.0022,0.00035,0.00018,-0.0300564,-0.0357964,0.00689148,-0.00115153,0.0022,0.00035,0.00018,-0.0389606,-0.0489709,0.0117288,-0.00171848,0.28,0,0.03,-0.0021997,-0.00208588,0,-0.000113819,
Thu Oct  3 09:59:03 2019,8562808,575.718,1513,1516,1088,1514,1088,1514,0.0469513,-0.093895,0.9,0,-0.05,-1.19209e-07,5404,5550,36,8,30,10,0.665588,-0.196325,-9.6199,0.0127707,-0.0170276,0.00851379,-34.9125,6.45469,-15.2109,15.7883,-0.093895,21.6396,0.0469513,0.00851379,0,575.718,0.0022,0.00035,0.00018,-0.029625,-0.0353616,0.00691725,-0.00118064,0.0022,0.00035,0.00018,-0.0383093,-0.0482364,0.0116854,-0.00175824,0.28,0,0.03,-0.00250008,-0.00238386,-0,-0.000116213,
Thu Oct  3 09:59:03 2019,8572809,575.718,1513,1516,1088,1514,1088,1514,0.0469513,-0.093895,0.9,0,-0.05,-1.19209e-07,5380,5528,36,18,6,30,0.665588,-0.11971,-9.70131,-0.00106422,-0.0255414,0.0117065,-34.9125,6.45469,-15.2109,15.5958,-0.093895,21.3047,0.0469513,0.0117065,0,575.718,0.0022,0.00035,0.00018,-0.0294579,-0.0349409,0.00669238,-0.0012094,0.0022,0.00035,0.00018,-0.0376472,-0.0475039,0.0116541,-0.00179741,0.28,0,0.03,-0.00339706,-0.00327781,-0,-0.000119246,
Thu Oct  3 09:59:03 2019,8582810,575.901,1513,1516,1088,1514,1088,1514,0.0469513,-0.093895,0.9,0,-0.05,-1.19209e-07,5380,5528,36,18,6,30,0.59855,-0.134075,-9.63427,0.00532112,-0.0255414,0.00851379,-34.9125,6.45469,-15.2109,15.4149,-0.093895,20.9735,0.0469513,0.00851379,0,575.901,0.0022,0.00035,0.00018,-0.0290176,-0.0345174,0.00673764,-0.00123782,0.0022,0.00035,0.00018,-0.0368812,-0.0467671,0.0117218,-0.00183598,0.28,0,0.03,-0.00250614,-0.00238386,0,-0.000122279,
Thu Oct  3 09:59:03 2019,8592811,575.901,1513,1516,1088,1514,1088,1514,0.0469513,-0.093895,0.9,0,-0.05,-1.19209e-07,5388,5538,32,8,28,12,0.617704,-0.143652,-9.61033,0.0127707,-0.0255414,0.00744957,-35.0906,6.27539,-12.9639,15.2254,-0.093895,20.6447,0.0469513,0.00744957,0,575.901,0.0022,0.00035,0.00018,-0.0290517,-0.0341193,0.00633352,-0.0012659,0.0022,0.00035,0.00018,-0.0363209,-0.0460385,0.0115915,-0.00187394,0.28,0,0.03,-0.00221055,-0.00208588,0,-0.000124674,
Thu Oct  3 09:59:03 2019,8602812,575.901,1513,1516,1088,1514,1088,1514,0.0469513,-0.093895,0.9,0,-0.05,-1.19209e-07,5388,5538,32,8,28,12,0.6608,-0.143652,-9.69173,0.00957802,-0.0340552,0.0148991,-35.0906,6.27539,-12.9639,15.0421,-0.093895,20.3183,0.0469513,0.0148991,0,575.901,0.0022,0.00035,0.00018,-0.0283664,-0.0337025,0.00662979,-0.00129364,0.0022,0.00035,0.00018,-0.0357168,-0.045315,0.0115095,-0.00191131,0.28,0,0.03,-0.00429979,-0.00417176,-0,-0.000128026,
Thu Oct  3 09:59:03 2019,8612813,575.901,1513,1516,1088,1514,1088,1514,0.0469513,-0.093895,0.9,0,-0.05,-1.19209e-07,5384,5540,34,8,28,14,0.560243,-0.0287304,-9.55287,0.0170276,-0.0351194,0.00957802,-35.0906,6.27539,-12.9639,14.8546,-0.093895,19.9921,0.0469513,0.00957802,0,575.901,0.0022,0.00035,0.00018,-0.0282024,-0.0332991,0.00641777,-0.00132105,0.0022,0.00035,0.00018,-0.035122,-0.044597,0.0114231,-0.0019481,0.28,0,0.03,-0.00281354,-0.00268185,0,-0.000131698,
Thu Oct  3 09:59:03 2019,8622814,576.465,1513,1515,1088,1514,1088,1514,0.0469513,-0.0469437,0.9,0,-0.05,-1.19209e-07,5384,5540,34,8,28,14,0.68953,-0.047884,-9.63906,0.032991,-0.0266056,0.0244772,-35.0906,6.27539,-12.9639,14.6738,-0.093895,19.6726,0.0469513,0.0244772,0,576.465,0.0022,0.00035,0.00018,-0.0276724,-0.0328867,0.00656237,-0.00134813,0.0022,0.00035,0.00018,-0.034447,-0.0438794,0.0114167,-0.00198429,0.28,0,0.03,-0.00699041,-0.0068536,-0,-0.000136806,
Thu Oct  3 09:59:03 2019,8632815,576.465,1513,1515,1088,1514,1088,1514,0.0469513,-0.0469437,0.9,0,-0.05,-1.19209e-07,5402,5540,36,10,28,10,0.517148,-0.143652,-9.74919,0.0117065,-0.0308625,0.00319267,-35.0906,6.27539,-12.9639,14.487,-0.0469437,19.3522,0.0469513,0.00319267,0,576.465,0.0022,0.00035,0.00018,-0.0257913,-0.0323857,0.00796927,-0.00137483,0.0022,0.00035,0.00018,-0.0340142,-0.0431765,0.0111822,-0.0020199,0.28,0,0.03,-0.0010349,-0.000893948,0,-0.000140956,
