today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],YAW_CMD, YAW_MEAS_FILT
Sun Feb 18 11:01:41 2018,72796823,607.242,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5344,5528,1086,0,32,12,0.0957681,0.100556,-10.3765,0.00957802,-0.0202203,0.019156,49.2627,37.6359,-57.0773,2.38419e-07,0.019156,
Sun Feb 18 11:01:41 2018,72806824,607.242,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5346,5512,1086,0,32,14,0.071826,0.0191536,-10.4052,0.00744957,-0.0202203,0.0159634,49.2627,37.6359,-57.0773,2.38419e-07,0.0159634,
Sun Feb 18 11:01:41 2018,72816825,607.242,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5346,5512,1086,0,32,14,0.114922,0.105345,-10.41,0.00532112,-0.0180918,0.00744957,49.2627,37.6359,-57.0773,2.38419e-07,0.00744957,
Sun Feb 18 11:01:41 2018,72826826,607.198,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5350,5506,1086,0,8,32,0.0766145,0.134075,-10.4148,0.0106422,-0.00851379,0.00532112,49.2627,37.6359,-57.0773,2.38419e-07,0.00532112,
Sun Feb 18 11:01:41 2018,72836827,607.198,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5350,5490,1080,0,30,12,0.0191536,0.0766145,-10.3621,0.0138349,-0.0117065,0.00638535,49.2627,37.6359,-57.0773,2.38419e-07,0.00638535,
Sun Feb 18 11:01:41 2018,72846828,607.198,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5350,5490,1080,0,30,12,0.0574608,0.0335188,-10.3669,0.0117065,-0.0159634,0.00957802,49.2627,37.6359,-57.0773,2.38419e-07,0.00957802,
Sun Feb 18 11:01:41 2018,72856829,607.198,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5348,5510,1086,0,8,32,0.0383072,0.138864,-10.4196,0.00957802,-0.0148991,0.0117065,49.2627,37.6359,-57.0773,2.38419e-07,0.0117065,
Sun Feb 18 11:01:41 2018,72866830,607.198,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5348,5510,1086,0,8,32,0.186748,0.0861913,-10.4148,0.0117065,-0.0127707,0.0106422,49.2627,37.6359,-57.0773,2.38419e-07,0.0106422,
Sun Feb 18 11:01:41 2018,72876831,607.198,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5348,5510,1086,0,8,32,0.0383072,0.172383,-10.252,0.00851379,-0.0106422,0.00532112,49.2627,37.6359,-57.0773,2.38419e-07,0.00532112,
Sun Feb 18 11:01:41 2018,72886832,607.216,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5344,5488,1080,0,8,32,-0.0143652,0.158017,-10.4387,0.0138349,-0.0127707,0.0042569,49.2627,37.6359,-57.0773,2.38419e-07,0.0042569,
Sun Feb 18 11:01:41 2018,72896833,607.216,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5344,5488,1080,0,8,32,0.0430956,0.0622492,-10.3669,0.00744957,-0.0159634,0.00957802,49.2627,37.6359,-57.0773,2.38419e-07,0.00957802,
Sun Feb 18 11:01:41 2018,72906834,607.216,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5346,5490,1080,0,32,14,0,0.0861913,-10.3908,0.0148991,-0.0148991,0.0106422,49.2627,37.6359,-57.0773,2.38419e-07,0.0106422,
Sun Feb 18 11:01:41 2018,72916835,607.216,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5346,5490,1078,0,32,14,0.0191536,0.0287304,-10.2711,0.0042569,-0.0127707,0.0106422,49.2627,37.6359,-57.0773,2.38419e-07,0.0106422,
Sun Feb 18 11:01:41 2018,72926836,607.007,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5346,5490,1078,0,32,14,0.0383072,0.105345,-10.5632,0.0117065,-0.0138349,0.0106422,49.2627,37.6359,-57.0773,2.38419e-07,0.0106422,
Sun Feb 18 11:01:41 2018,72936837,607.007,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5338,5524,1084,0,30,32,-0.0191536,0.148441,-10.3621,0.0106422,-0.0159634,0.00638535,49.2627,37.6359,-57.0773,2.38419e-07,0.00638535,
Sun Feb 18 11:01:41 2018,72946838,607.007,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5338,5524,1084,0,30,32,0.0287304,0.0766145,-10.2855,0.0106422,-0.0138349,0.00851379,49.2627,37.6359,-57.0773,2.38419e-07,0.00851379,
Sun Feb 18 11:01:41 2018,72956839,607.007,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5346,5526,1086,0,8,32,-0.0191536,0.100556,-10.4148,0.00638535,-0.0148991,0.00638535,49.2627,37.6359,-57.0773,2.38419e-07,0.00638535,
Sun Feb 18 11:01:41 2018,72966840,607.007,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5346,5526,1086,0,8,32,-0.0191536,0.0047884,-10.4627,0.00532112,-0.0117065,0.0127707,49.2627,37.6359,-57.0773,2.38419e-07,0.0127707,
Sun Feb 18 11:01:41 2018,72976841,607.007,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5350,5502,1076,0,32,14,0.0430956,0.110133,-10.386,0.00744957,-0.0138349,0.0127707,49.2627,37.6359,-57.0773,2.38419e-07,0.0127707,
