microseconds_since_start, kpe(P)=0.0035, kiei(I)=1e-09, kded(D)=0.0006,P_CMD,signal, mad_pitch,,,,,,,,,,,,,,,,,,,,,,,,,,
8955108,0.014035,-8.30E-14,-0.00099618,1.30E-02,0.211266,-3.79875,,,,,,,,,,,,,,,,,,,,,,,,,,
8965109,0.0139193,-1.65E-13,-0.00198353,1.19E-02,0.211266,-3.76569,,,,,,,,,,,,,,,,,,,,,,,,,,
8975110,0.0137881,-1.88E-13,-0.00225048,1.15E-02,0.281685,-3.72818,,,,,,,,,,,,,,,,,,,,,,,,,,
8985111,0.013868,1.14E-13,0.00137087,1.52E-02,0.281685,-3.68061,,,,,,,,,,,,,,,,,,,,,,,,,,
8995112,0.0136686,-2.85E-13,-0.00341939,1.02E-02,0.211266,-3.62362,,,,,,,,,,,,,,,,,,,,,,,,,,
9005113,0.0132275,-6.30E-13,-0.00756193,5.67E-03,0.211266,-3.56801,,,,,,,,,,,,,,,,,,,,,,,,,,
9015114,0.0130054,-3.17E-13,-0.00380738,9.20E-03,0.281685,-3.50455,,,,,,,,,,,,,,,,,,,,,,,,,,
9025115,0.0130012,-5.94E-15,-7.13E-05,1.29E-02,0.281685,-3.43294,,,,,,,,,,,,,,,,,,,,,,,,,,
9035116,0.0127301,-3.87E-13,-0.00464739,8.08E-03,0.281685,-3.35549,,,,,,,,,,,,,,,,,,,,,,,,,,
9045117,0.0124283,-4.31E-13,-0.00517329,7.26E-03,0.281685,-3.26927,,,,,,,,,,,,,,,,,,,,,,,,,,
9055118,0.0120984,-4.71E-13,-0.00565573,6.44E-03,0.281685,-3.175,,,,,,,,,,,,,,,,,,,,,,,,,,
9065119,0.0117597,-4.84E-13,-0.00580636,5.95E-03,0.281685,-3.07823,,,,,,,,,,,,,,,,,,,,,,,,,,
9075122,0.0114252,-4.78E-13,-0.00573471,5.69E-03,0.281685,-2.98265,,,,,,,,,,,,,,,,,,,,,,,,,,
9085123,0.0110957,-4.71E-13,-0.00564782,5.45E-03,0.211266,-2.88852,,,,,,,,,,,,,,,,,,,,,,,,,,
9095124,0.010564,-7.60E-13,-0.00911449,1.45E-03,0.211266,-2.80703,,,,,,,,,,,,,,,,,,,,,,,,,,
9105125,0.0102745,-4.14E-13,-0.00496423,5.31E-03,0.281685,-2.7243,,,,,,,,,,,,,,,,,,,,,,,,,,
9115126,0.0102657,-1.25E-14,-0.000150261,1.01E-02,0.281685,-2.65137,,,,,,,,,,,,,,,,,,,,,,,,,,
9125127,0.010047,-3.12E-13,-0.00374846,6.30E-03,0.211266,-2.5889,,,,,,,,,,,,,,,,,,,,,,,,,,
9135128,0.00962214,-6.07E-13,-0.00728404,2.34E-03,0.211266,-2.53792,,,,,,,,,,,,,,,,,,,,,,,,,,
9145129,0.00950617,-1.66E-13,-0.00198805,7.52E-03,0.211266,-2.50478,,,,,,,,,,,,,,,,,,,,,,,,,,
9155130,0.00942025,-1.23E-13,-0.00147295,7.95E-03,0.211266,-2.48023,,,,,,,,,,,,,,,,,,,,,,,,,,
9165131,0.0093858,-4.92E-14,-0.000590587,8.80E-03,0.211266,-2.47039,,,,,,,,,,,,,,,,,,,,,,,,,,
9175133,0.0094084,3.23E-14,0.000387468,9.80E-03,0.211266,-2.47685,,,,,,,,,,,,,,,,,,,,,,,,,,
9185134,0.00944819,5.68E-14,0.000682097,1.01E-02,0.211266,-2.48822,,,,,,,,,,,,,,,,,,,,,,,,,,
9195135,0.00950519,8.14E-14,0.000977225,1.05E-02,0.281685,-2.5045,,,,,,,,,,,,,,,,,,,,,,,,,,
9205136,0.00983635,4.73E-13,0.00567706,1.55E-02,0.281685,-2.5287,,,,,,,,,,,,,,,,,,,,,,,,,,
9215137,0.00993309,1.38E-13,0.00165826,1.16E-02,0.281685,-2.55634,,,,,,,,,,,,,,,,,,,,,,,,,,
9225138,0.0100318,1.41E-13,0.00169201,1.17E-02,0.281685,-2.58454,,,,,,,,,,,,,,,,,,,,,,,,,,
9235139,0.0101365,1.50E-13,0.00179435,1.19E-02,0.211266,-2.61445,,,,,,,,,,,,,,,,,,,,,,,,,,
9245140,0.0100037,-1.90E-13,-0.00227652,7.73E-03,0.211266,-2.64692,,,,,,,,,,,,,,,,,,,,,,,,,,
9255150,0.0100844,1.15E-13,0.00138496,1.15E-02,0.281685,-2.67001,,,,,,,,,,,,,,,,,,,,,,,,,,
