today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchGyr0,pitchAccel,pitchgyro_f,pitchAccel_f,ekp,ekoldp,edp,eip,lamdap,ekr,ekoldr,edr,eir,lamdar,eky,ekoldy,edy,eiy,lamday
Sun Feb 18 10:28:05 2018,18761201,612.177,1514,1514,1088,1514,1088,1940,-7.63E-06,7.63E-06,1,2.38E-07,-0.5,0.5,5336,5524,1088,0,30,14,-0.0574608,0.172383,-10.343,0.0117065,-0.0138349,0.00744957,-33.7061,127.823,24.4617,-0.250305,-0.318307,0.00236969,-0.145011,0.161595,0.161595,0.357406,0.00159808,0.000992371,0.528856,0.528856,0.600761,0.00525852,0.00282562,,,,,
Sun Feb 18 10:28:05 2018,18771202,612.177,1514,1514,1088,1514,1088,1940,-7.63E-06,7.63E-06,1,2.38E-07,-0.5,0.5,5324,5526,1080,0,30,14,-0.023942,0.11971,-10.4148,0.0170276,-0.0127707,0.00744957,-33.7061,127.823,24.4617,-0.24939,-0.131714,0.00293355,-0.146922,0.170045,0.170045,0.845033,0.0016582,0.00139222,0.530898,0.530898,0.204265,0.00529877,0.00254061,,,,,
Sun Feb 18 10:28:05 2018,18781203,612.838,1514,1514,1088,1514,1088,1940,-7.63E-06,7.63E-06,1,2.38E-07,-0.5,0.5,5324,5526,1080,0,30,14,0.00957681,0.167594,-10.4052,0.0106422,-0.0127707,0.00532112,-33.7061,127.823,24.4617,-0.25,0.0527343,0.00198024,-0.148615,0.179145,0.179145,0.909947,0.00174595,0.00148133,0.528748,0.528748,-0.215012,0.00529823,0.00221983,,,,,
Sun Feb 18 10:28:05 2018,18791204,612.838,1514,1514,1088,1514,1088,1940,-7.63E-06,7.63E-06,1,2.38E-07,-0.5,0.5,5344,5500,1086,0,30,12,-0.0047884,0.138864,-10.2711,0.0180918,-0.0106422,0.00212845,-33.7061,127.823,24.4617,-0.248476,-0.0267113,0.00314192,-0.149653,0.188734,0.188734,0.958931,0.00183939,0.00156083,0.529547,0.529547,0.0798404,0.00529147,0.0024422,,,,,
Sun Feb 18 10:28:05 2018,18801205,612.838,1514,1514,1088,1514,1088,1940,-7.63E-06,7.63E-06,1,2.38E-07,-0.5,0.5,5344,5500,1086,0,30,12,0.0143652,0.138864,-10.3525,0.00957802,-0.00957802,0.00638535,-33.7061,127.823,24.4617,-0.248781,0.0795039,0.00244321,-0.149964,0.191141,0.191141,0.240742,0.00189938,0.00103877,0.52435,0.52435,-0.519663,0.00526948,0.00197399,,,,,
Sun Feb 18 10:28:05 2018,18811206,612.838,1514,1514,1088,1514,1088,1940,-7.63E-06,7.63E-06,1,2.38E-07,-0.5,0.5,5340,5528,1086,0,30,14,-0.0191536,0.167594,-10.3765,0.0170276,-0.0180918,0.00744957,-33.7061,127.823,24.4617,-0.246646,-0.105761,0.00412773,-0.149657,0.192877,0.192877,0.173578,0.00192009,0.000996741,0.523099,0.523099,-0.125068,0.00523725,0.00226115,,,,,
Sun Feb 18 10:28:05 2018,18821207,612.838,1514,1514,1088,1514,1088,1940,-7.63E-06,7.63E-06,1,2.38E-07,-0.5,0.5,5340,5528,1086,0,30,14,-0.0430956,0.220267,-10.2711,0.0138349,-0.0117065,0.00744957,-33.7061,127.823,24.4617,-0.247866,-0.240401,0.00244553,-0.149163,0.209898,0.209898,1.70209,0.00201387,0.00220749,0.525594,0.525594,0.249487,0.00524347,0.00255029,,,,,
Sun Feb 18 10:28:05 2018,18831208,612.838,1514,1514,1088,1514,1088,1940,-7.63E-06,7.63E-06,1,2.38E-07,-0.5,0.5,5336,5510,1086,0,28,12,-0.0766145,0.148441,-10.4148,0.0117065,-0.0106422,0.00638535,-33.7061,127.823,24.4617,-0.247866,-0.421479,0.00206359,-0.149099,0.220219,0.220219,1.03209,0.00215058,0.00175679,0.530835,0.530835,0.524062,0.00528215,0.00277761,,,,,
Sun Feb 18 10:28:05 2018,18841209,612.699,1514,1514,1088,1514,1088,1940,-7.63E-06,7.63E-06,1,2.38E-07,-0.5,0.5,5336,5510,1086,0,28,12,0.0047884,0.162806,-10.5297,0.0106422,-0.0127707,0.00532112,-33.7061,127.823,24.4617,-0.247866,0.0260554,0.00170632,-0.149475,0.224474,0.224474,0.425561,0.00222347,0.0013259,0.527507,0.527507,-0.332814,0.00529171,0.00212683,,,,,
Sun Feb 18 10:28:05 2018,18851210,612.699,1514,1514,1088,1514,1088,1940,-7.63E-06,7.63E-06,1,2.38E-07,-0.5,0.5,5340,5502,1080,0,8,32,-0.0287304,0.158017,-10.4052,0.0106422,-0.00851379,0.00638535,-33.7061,127.823,24.4617,-0.248476,-0.158203,0.000789696,-0.149753,0.231753,0.231753,0.727907,0.00228114,0.001583,0.531447,0.531447,0.394005,0.00529477,0.00268386,,,,,
