today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=0.0025, kiei(I)=5e-08, kded(D)=0.0006,signal, mad_pitch, multiplier
Sun Feb 11 14:47:28 2018,9699246,921.646,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5018,4138,1216,0,8,32,-0.445322,-0.100556,-10.1131,0.00638535,0.0255414,0.00106422,30.7676,30.8719,46.9266,-2.52134,10.5924,-2.66421,1.26641,-1.3978,0.0747204,-1.10417e-10,-0.0265001,0.0704193,-29.8177,0,
Sun Feb 11 14:47:28 2018,9709247,921.646,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5002,4138,1218,0,32,14,-0.3304,-0.110133,-10.1801,0.0170276,0.0223487,0.00744957,30.7676,30.8719,46.9266,-1.8589,10.8798,-2.6878,1.20657,-1.48123,0.0736395,-1.08091e-10,-0.0259418,0.0704193,-29.3854,0,
Sun Feb 11 14:47:28 2018,9719248,921.646,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5002,4138,1218,0,32,14,-0.301669,-0.339977,-10.3094,0.0244772,0.00744957,0.00744957,30.7676,30.8719,46.9266,-1.67608,11.1706,-2.70672,1.15047,-1.55624,0.0725683,-1.07118e-10,-0.0257084,0.0704193,-28.9569,0,
Sun Feb 11 14:47:28 2018,9729249,921.646,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5000,4134,1214,0,8,32,-0.263362,-0.0622492,-10.1466,0.0180918,-0.00106422,0.0202203,30.7676,30.8719,46.9266,-1.48682,11.4595,-2.72013,1.09305,-1.62708,0.0715093,-1.059e-10,-0.0254161,0.0704193,-28.5333,0,
Sun Feb 11 14:47:28 2018,9739250,922.272,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5000,4134,1214,0,8,32,-0.196325,-0.220267,-10.4483,0.0117065,-0.00212845,0.0212845,27.6562,32.6063,46.9266,-1.07647,11.7463,-2.72753,1.03434,-1.69319,0.0704694,-1.03987e-10,-0.0249568,0.0704193,-28.1174,0,
Sun Feb 11 14:47:28 2018,9749251,922.272,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5002,4140,1220,0,30,14,-0.0766145,-0.220267,-10.5393,0.00106422,-0.0148991,0.0117065,27.6562,32.6063,46.9266,-0.4165,12.0364,-2.72784,0.97992,-1.74792,0.0694344,-1.03504e-10,-0.0248409,0.0704193,-27.7033,0,
Sun Feb 11 14:47:28 2018,9759252,922.272,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5002,4140,1220,0,30,14,-0.268151,-0.11971,-10.4052,0.00851379,-0.0223487,0.0138349,27.6562,32.6063,46.9266,-1.47623,12.325,-2.72101,0.924969,-1.79605,0.0683933,-1.04115e-10,-0.0249875,0.0704193,-27.2869,0,
Sun Feb 11 14:47:28 2018,9769253,922.272,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,4994,4124,1216,0,8,32,-0.416591,-0.153229,-10.5872,0.0170276,-0.0340552,0.0276698,27.6562,32.6063,46.9266,-2.25335,12.6148,-2.70981,0.872363,-1.83744,0.0673906,-1.00268e-10,-0.0240644,0.0704193,-26.8858,0,
Sun Feb 11 14:47:28 2018,9779254,922.272,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,4994,4124,1216,0,8,32,-0.114922,-0.287304,-10.4291,0.00851379,-0.042569,0.0223487,27.6562,32.6063,46.9266,-0.631333,12.9038,-2.69556,0.82006,-1.8755,0.0664361,-9.54485e-11,-0.0229076,0.0704193,-26.504,0,
Sun Feb 11 14:47:28 2018,9789255,922.272,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5034,4138,1218,0,32,14,-0.138864,-0.186748,-10.4291,-0.00851379,-0.0595966,0.00532112,27.6562,32.6063,46.9266,-0.762847,13.1951,-2.67639,0.771438,-1.90496,0.0654763,-9.5984e-11,-0.0230362,0.0704193,-26.1201,0,
Sun Feb 11 14:47:28 2018,9799256,921.264,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5034,4138,1218,0,32,14,-0.335188,-0.047884,-10.3717,-0.00744957,-0.0691746,0.00957802,27.6562,32.6063,46.9266,-1.85102,13.4843,-2.65253,0.721994,-1.93054,0.0645261,-9.50174e-11,-0.0228042,0.0704193,-25.74,0,
