today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=0.002, kiei(I)=0, kded(D)=0.0006,signal, mad_pitch, multiplier
Sun Feb 11 14:28:12 2018,9070875,920.621,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4996,4122,1216,0,8,32,0.268151,-0.287304,-10.2759,0.00212845,-0.0372479,0.0127707,26.4463,33.4734,49.4227,1.4948,10.0374,0.973878,1.36721,2.34109,0.0548951,-0,-0.0259575,50.3838,-27.4475,50.3838,
Sun Feb 11 14:28:12 2018,9080876,920.621,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5004,4138,1210,0,20,32,0.153229,-0.162806,-10.3477,0.00212845,-0.0383121,0.0138349,26.4463,33.4734,49.4227,0.848372,10.3242,1.00116,1.30734,2.30849,0.0540374,-0,-0.0257285,50.3838,-27.0187,50.3838,
Sun Feb 11 14:28:12 2018,9090877,921.081,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5004,4138,1210,0,20,32,0.220267,-0.229843,-10.3573,-0.00638535,-0.0372479,0.0117065,26.4463,33.4734,49.4227,1.21831,10.6104,1.0265,1.24703,2.27353,0.0531893,-0,-0.0254442,50.3838,-26.5947,50.3838,
Sun Feb 11 14:28:12 2018,9100878,921.081,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4994,4124,1216,0,8,30,0.225055,-0.234632,-10.3094,-0.00319267,-0.0393763,0.0117065,26.4463,33.4734,49.4227,1.25057,10.8975,1.0501,1.18801,2.23811,0.0523415,-0,-0.0254329,50.3838,-26.1708,50.3838,
Sun Feb 11 14:28:12 2018,9110879,921.081,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4994,4124,1216,0,8,30,0.105345,-0.201113,-10.3525,0,-0.0372479,0.00532112,26.1006,34.8609,47.4258,0.583009,11.1834,1.07179,1.12836,2.20015,0.0514999,-0,-0.0252501,50.3838,-25.7499,50.3838,
Sun Feb 11 14:28:12 2018,9120880,921.081,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4994,4130,1218,0,20,32,0.186748,-0.158017,-10.2855,0.00106422,-0.0393763,0.00744957,26.1006,34.8609,47.4258,1.04017,11.4704,1.09085,1.07069,2.16153,0.0506689,-0,-0.0249291,50.3838,-25.3344,50.3838,
Sun Feb 11 14:28:12 2018,9130881,921.09,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4994,4130,1218,0,20,32,0.105345,-0.158017,-10.3717,0.00638535,-0.042569,0.00957802,26.1006,34.8609,47.4258,0.581932,11.7578,1.10723,1.01416,2.1214,0.0498398,-0,-0.0248729,50.3838,-24.9199,50.3838,
Sun Feb 11 14:28:12 2018,9140882,921.09,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5006,4138,1212,0,8,32,0.110133,-0.177171,-10.2759,0.0138349,-0.0415047,0.00744957,26.1006,34.8609,47.4258,0.614051,12.044,1.1207,0.957449,2.07815,0.0490221,-0,-0.0245314,50.3838,-24.511,50.3838,
Sun Feb 11 14:28:12 2018,9150883,921.09,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5006,4138,1212,0,8,32,0.23942,-0.215478,-10.3525,0.0127707,-0.0393763,0.00532112,26.1006,34.8609,47.4258,1.32483,12.3299,1.13176,0.901648,2.03341,0.0482103,-0,-0.0243543,50.3838,-24.1051,50.3838,
Sun Feb 11 14:28:12 2018,9160884,921.09,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5000,4138,1212,0,32,14,0.100556,-0.215478,-10.2137,0.00744957,-0.0436332,0.00744957,26.1006,34.8609,47.4258,0.564076,12.6176,1.14122,0.848935,1.99015,0.0473963,-0,-0.0244203,50.3838,-23.6981,50.3838,
