today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=0.05, kiei(I)=0, kded(D)=0,signal, mad_pitch
Sun Feb 11 11:26:31 2018,8694865,979.897,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5004,4150,1220,0,8,32,1.78129,-0.277727,-9.00699,0.0862022,0.555525,0.0308625,22.9893,32.4328,50.7539,11.1869,15.0242,1.67335,0.469542,2.14289,0.537194,-0,-0,0.0704193,-10.6735,
Sun Feb 11 11:26:31 2018,8704866,979.897,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5008,4142,1218,0,32,12,1.99198,-0.335188,-10.3046,-0.00532112,0.490607,-0.0351194,22.9893,32.4328,50.7539,10.9408,15.3293,1.85732,0.451466,2.30879,0.500958,-0,-0,0.0704193,-9.94874,
Sun Feb 11 11:26:31 2018,8714867,979.897,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5008,4142,1218,0,32,12,2.27449,-0.0383072,-11.2815,-0.0446974,0.376735,0.0244772,22.9893,32.4328,50.7539,11.3988,15.6484,2.06062,0.446637,2.50726,0.467176,-0,-0,0.0704193,-9.2731,
Sun Feb 11 11:26:31 2018,8724868,979.897,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5008,4144,1218,0,8,32,1.8148,-0.368707,-9.90721,0.0681104,0.264992,0.0244772,22.9893,32.4328,50.7539,10.3804,15.9669,2.2805,0.439949,2.72045,0.434376,-0,-0,0.0704193,-8.61711,
Sun Feb 11 11:26:31 2018,8734869,981.174,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5008,4144,1218,0,8,32,2.70545,-0.727837,-9.10275,0.108551,0.271377,-0.00212845,22.9893,32.4328,50.7539,16.5526,16.2516,2.51905,0.399797,2.91885,0.404085,-0,-0,0.0704193,-8.01128,
Sun Feb 11 11:26:31 2018,8744870,981.174,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5026,4146,1218,0,8,32,2.15957,-0.593762,-11.2863,-0.0127707,0.236258,0.0446974,20.0508,31.9125,50.9203,10.8323,16.5481,2.77909,0.372921,3.15201,0.374309,-0,-0,0.0704193,-7.41576,
Sun Feb 11 11:26:31 2018,8754871,981.174,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5026,4146,1218,0,8,32,1.79086,-0.512359,-10.501,-0.0510828,0.061725,-0.00851379,20.0508,31.9125,50.9203,9.67827,16.8846,3.05173,0.385126,3.43686,0.348176,-0,-0,0.0704193,-6.8931,
Sun Feb 11 11:26:31 2018,8764872,981.174,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5008,4144,1218,0,32,32,2.39899,-0.656011,-9.51935,0.0468259,-0.0266056,-0.00744957,20.0508,31.9125,50.9203,14.1447,17.1964,3.33153,0.371219,3.70275,0.326207,-0,-0,0.0704193,-6.45371,
Sun Feb 11 11:26:31 2018,8774873,979.81,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5008,4144,1218,0,32,32,2.05422,-0.464475,-10.5058,-0.00212845,-0.0361836,0.0319267,20.0508,31.9125,50.9203,11.0636,17.4856,3.62125,0.33551,3.95676,0.303808,-0,-0,0.0704193,-6.00574,
Sun Feb 11 11:26:31 2018,8784874,979.81,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5006,4144,1218,0,8,30,1.78129,-0.502782,-10.3908,-0.0872664,-0.155377,-0.0383121,20.0508,31.9125,50.9203,9.72759,17.8062,3.91608,0.331607,4.24769,0.285228,-0,-0,0.0704193,-5.63415,
