today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=0.0001, kiei(I)=0, kded(D)=0,signal, mad_pitch
Sun Feb 11 13:33:01 2018,10276645,941.613,1514,1513,1088,1514,1940,1514,-7.62939e-06,50.3838,0.9,0,0.5,-1.19209e-07,4996,4124,1212,0,32,14,0.172383,-0.124498,-10.3765,0.0042569,-0.00212845,0.0106422,24.8906,32.2594,46.9266,0.951758,12.8922,0.689318,0.79371,1.48303,0.137447,-0,-0,50.3838,-27.2799,
Sun Feb 11 13:33:01 2018,10286646,941.613,1514,1513,1088,1514,1940,1514,-7.62939e-06,50.3838,0.9,0,0.5,-1.19209e-07,5000,4138,1214,0,32,12,0.191536,-0.100556,-10.2568,0.00744957,0.00212845,0.0117065,24.8906,32.2594,46.9266,1.06983,13.1774,0.695516,0.741954,1.43747,0.135113,-0,-0,50.3838,-26.8168,
Sun Feb 11 13:33:01 2018,10296647,941.431,1514,1513,1088,1514,1940,1514,-7.62939e-06,50.3838,0.9,0,0.5,-1.19209e-07,5000,4138,1214,0,32,12,0.105345,-0.186748,-10.319,0.00212845,0.00212845,0.0170276,24.8906,32.2594,46.9266,0.584902,13.4639,0.702031,0.692964,1.39499,0.132792,-0,-0,50.3838,-26.356,
Sun Feb 11 13:33:01 2018,10306648,941.431,1514,1513,1088,1514,1940,1514,-7.62939e-06,50.3838,0.9,0,0.5,-1.19209e-07,4990,4128,1214,0,30,14,0.268151,-0.21069,-10.2855,0.00212845,0,0.0138349,24.8906,32.2594,46.9266,1.49341,13.751,0.708865,0.646104,1.35497,0.130486,-0,-0,50.3838,-25.8985,
Sun Feb 11 13:33:01 2018,10316649,941.431,1514,1513,1088,1514,1940,1514,-7.62939e-06,50.3838,0.9,0,0.5,-1.19209e-07,4990,4128,1214,0,30,14,0.162806,-0.148441,-10.3813,-0.00212845,-0.00744957,0.0106422,24.8906,32.2594,46.9266,0.898477,14.0396,0.716662,0.602245,1.31891,0.128195,-0,-0,50.3838,-25.4436,
Sun Feb 11 13:33:01 2018,10326650,941.431,1514,1513,1088,1514,1940,1514,-7.62939e-06,50.3838,0.9,0,0.5,-1.19209e-07,5000,4138,1214,0,8,32,0.114922,-0.0814029,-10.2903,-0.00319267,-0.00106422,0.0170276,24.8906,32.2594,46.9266,0.639852,14.3243,0.724799,0.556049,1.28085,0.125912,-0,-0,50.3838,-24.9905,
Sun Feb 11 13:33:01 2018,10336651,943.455,1514,1513,1088,1514,1940,1514,-7.62939e-06,50.3838,0.9,0,0.5,-1.19209e-07,5000,4138,1214,0,8,32,0.100556,-0.134075,-10.2185,-0.00532112,-0.00638535,0.00744957,24.8906,32.2594,46.9266,0.563811,14.6123,0.732097,0.514889,1.24699,0.123644,-0,-0,50.3838,-24.5404,
Sun Feb 11 13:33:01 2018,10346652,943.455,1514,1513,1088,1514,1940,1514,-7.62939e-06,50.3838,0.9,0,0.5,-1.19209e-07,4992,4122,1212,0,30,10,0.23942,-0.181959,-10.2759,-0.00212845,-0.00212845,0.00851379,24.8906,32.2594,46.9266,1.3347,14.8975,0.738938,0.472656,1.21159,0.121416,-0,-0,50.3838,-24.0982,
Sun Feb 11 13:33:01 2018,10356653,943.455,1514,1513,1088,1514,1940,1514,-7.62939e-06,50.3838,0.9,0,0.5,-1.19209e-07,4992,4122,1212,0,30,10,0.114922,-0.0335188,-10.2137,-0.00212845,-0.0127707,0.00638535,24.8906,32.2594,46.9266,0.644652,15.1871,0.746069,0.436312,1.18238,0.119173,-0,-0,50.3838,-23.653,
Sun Feb 11 13:33:01 2018,10366654,943.455,1514,1513,1088,1514,1940,1514,-7.62939e-06,50.3838,0.9,0,0.5,-1.19209e-07,5000,4142,1216,0,32,32,0.134075,-0.11971,-10.228,0.00106422,-0.00319267,0.00744957,24.8906,32.2594,46.9266,0.751026,15.4708,0.752962,0.395868,1.14883,0.116974,-0,-0,50.3838,-23.2166,
