today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=0.002, kiei(I)=0, kded(D)=6e-05,signal, mad_pitch, multiplier
Sun Feb 11 14:26:36 2018,8205705,921.542,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5024,4138,1218,0,30,12,1.17795,-0.253785,-10.2232,0.0106422,-0.152184,0.0297983,22.9893,31.0453,50.0883,6.57278,10.6433,3.74012,1.28478,5.0249,0.0538911,-0,-0.114102,50.3838,-26.9455,50.3838,
Sun Feb 11 14:26:36 2018,8215706,921.542,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5002,4138,1212,0,8,32,1.1971,-0.335188,-10.228,0.00532112,-0.167083,0.0276698,22.9893,31.0453,50.0883,6.6756,10.9341,3.88112,1.22561,5.10673,0.0531556,-0,-0.111169,50.3838,-26.5778,50.3838,
Sun Feb 11 14:26:36 2018,8225707,921.542,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5002,4138,1212,0,8,32,1.23541,-0.3304,-10.228,0,-0.179854,0.0159634,22.9893,31.0453,50.0883,6.8872,11.2242,4.0208,1.16625,5.18704,0.0524393,-0,-0.108264,50.3838,-26.2197,50.3838,
Sun Feb 11 14:26:36 2018,8235708,921.542,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4982,4124,1212,0,32,14,1.12049,-0.320823,-10.2759,-0.00212845,-0.19156,0.0117065,22.9893,31.0453,50.0883,6.22296,11.514,4.1586,1.10724,5.26584,0.051732,-0,-0.106906,50.3838,-25.866,50.3838,
Sun Feb 11 14:26:36 2018,8245709,920.986,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4982,4124,1212,0,32,14,1.02472,-0.205901,-10.2424,-0.00106422,-0.200074,0.00744957,22.9893,31.0453,50.0883,5.71325,11.803,4.29263,1.04819,5.34082,0.0510395,-0,-0.104682,50.3838,-25.5197,50.3838,
Sun Feb 11 14:26:36 2018,8255710,920.986,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5036,4134,1218,0,30,12,1.00556,-0.248997,-10.3621,0.00106422,-0.212845,0.00957802,22.9893,31.0453,50.0883,5.54278,12.0931,4.42095,0.991369,5.41232,0.0503644,-0,-0.102035,50.3838,-25.1822,50.3838,
Sun Feb 11 14:26:36 2018,8265711,920.986,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5036,4134,1218,0,30,12,0.919373,-0.21069,-10.0844,-0.0159634,-0.210716,-0,22.9893,31.0453,50.0883,5.20915,12.379,4.54245,0.931552,5.474,0.0497047,-0,-0.0997155,50.3838,-24.8524,50.3838,
Sun Feb 11 14:26:36 2018,8275712,920.986,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5036,4138,1214,0,30,32,1.03908,-0.253785,-10.1275,-0.0212845,-0.216038,-0,22.9893,31.0453,50.0883,5.85808,12.667,4.65706,0.875343,5.53241,0.0490456,-0,-0.099625,50.3838,-24.5228,50.3838,
Sun Feb 11 14:26:36 2018,8285713,920.986,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5036,4138,1214,0,30,32,0.80924,-0.167594,-10.319,-0.0234129,-0.224551,-0.00744957,22.9893,31.0453,50.0883,4.48409,12.9559,4.76456,0.821482,5.58605,0.0483921,-0,-0.0987791,50.3838,-24.1961,50.3838,
Sun Feb 11 14:26:36 2018,8295714,920.986,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5000,4138,1216,0,32,14,0.866701,-0.244209,-10.2663,-0.0223487,-0.218166,-0.0106422,22.9893,31.0453,50.0883,4.82557,13.2405,4.86349,0.765014,5.6285,0.0477499,-0,-0.0970718,50.3838,-23.8749,50.3838,
