today,microseconds_since_start,msl,T_Baro,rc0,rc1,rc2,rc3,rc4,rc5,rc6,rc7,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,rc6_scaled,rc7_scaled,roll_desired,,roll_cmd,roll_error,roll_error_rate,roll_error_sum,pitch_desired,,pitch_cmd,pitch_error,pitch_error_rate,pitch_error_sum,yaw_rate_desired,yaw_mpu_madgwick,yaw_cmd,yaw_rate_error,yaw_rate_error_rate,yaw_rate_error_sum,a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],m1cmd,m2cmd,m3cmd,m4cmd,throttle,time_gps,lat,lng,msl_gps,horz_accuracy,vert_accuracy,status_gps,prescribed_input1,prescribed_input2,prescribed_input3,prescribed_input4,prescribed_input_index,rpm
Fri Jun 29 20:29:52 2018,40660535,693.793335,29.6867523,1513,1510,1088,1510,1088,1940,1514,1514,-0.046951294,-0.187797546,1.00000012,-0.469482422,-0.500000119,0.5,-281.965118,-14492.0547,0,,16.5609455,0,0,0,0,,-6.04743338,0,0,0,0,177.925415,0.265786111,0,0,0,-0.18674773,0.770932913,-9.57201862,-0.002128449,-0.032990951,0.003192673,61.3195343,34.2890625,19.4250011,0.699999988,1.95000005,1.95000005,0.699999988,0,0,0,0,10000,0,0,0,0.100000001,0.100000001,0.100000001,0.100000001,0,30
Fri Jun 29 20:29:52 2018,40670536,693.793335,29.6867523,1513,1510,1088,1510,1088,1940,1514,1514,-0.046951294,-0.187797546,1.00000012,-0.469482422,-0.500000119,0.5,-310.978058,-14593.5518,0,,16.5330029,0,0,0,0,,-6.09837055,0,0,0,0,178.088318,0.268328041,0,0,0,-0.20590134,0.756567717,-9.63905621,-0.001064224,-0.034055177,0.001064224,61.3195343,34.2890625,19.4250011,0.699999988,1.95000005,1.95000005,0.699999988,0,0,0,0,10000,0,0,0,0.100000001,0.100000001,0.100000001,0.100000001,0,30
Fri Jun 29 20:29:52 2018,40680538,693.793335,29.6867523,1513,1510,1088,1510,1088,1940,1514,1514,-0.046951294,-0.187797546,1.00000012,-0.469482422,-0.500000119,0.5,-405.175568,-14629.8066,0,,16.5039215,0,0,0,0,,-6.1493268,0,0,0,0,178.265976,0.269104689,0,0,0,-0.268150598,0.804451764,-9.6629982,-0.002128449,-0.035119399,0.001064224,61.3195343,34.2890625,19.4250011,0.699999988,1.95000005,1.95000005,0.699999988,0,0,0,0,10000,0,0,0,0.100000001,0.100000001,0.100000001,0.100000001,0,30
Fri Jun 29 20:29:52 2018,40690577,693.793335,29.6867523,1513,1510,1088,1510,1088,1940,1514,1514,-0.046951294,-0.187797546,1.00000012,-0.469482422,-0.500000119,0.5,-347.312469,-14608.0537,0,,16.4738503,0,0,0,0,,-6.19964504,0,0,0,0,178.449646,0.269907594,0,0,0,-0.229843363,0.67037648,-9.648633,0.001064224,-0.0393763,0.001064224,61.3195343,34.2890625,19.4250011,0.699999988,1.95000005,1.95000005,0.699999988,0,0,0,0,10000,0,0,0,0.100000001,0.100000001,0.100000001,0.100000001,0,30
Fri Jun 29 20:29:52 2018,40700586,693.793335,29.6867523,1513,1510,1088,1510,1088,1940,1514,1514,-0.046951294,-0.187797546,1.00000012,-0.469482422,-0.500000119,0.5,-441.543427,-14586.3105,0,,16.4428577,0,0,0,0,,-6.2509222,0,0,0,0,178.652542,0.269879639,0,0,0,-0.292092592,0.684741676,-9.63426781,-0.002128449,-0.037247852,0.002128449,61.3195343,34.2890625,19.4250011,0.699999988,1.95000005,1.95000005,0.699999988,0,0,0,0,10000,0,0,0,0.100000001,0.100000001,0.100000001,0.100000001,0,30
Fri Jun 29 20:29:52 2018,40710587,693.793335,29.6867523,1513,1510,1088,1510,1088,1940,1514,1514,-0.046951294,-0.187797546,1.00000012,-0.469482422,-0.500000119,0.5,-369.027893,-14600.8047,0,,16.4098835,0,0,0,0,,-6.30201769,0,0,0,0,178.866516,0.273559719,0,0,0,-0.244208574,0.703895271,-9.6438446,0.002128449,-0.036183626,-0.001064224,61.3195343,34.2890625,19.4250011,0.699999988,1.95000005,1.95000005,0.699999988,0,0,0,0,10000,0,0,0,0.100000001,0.100000001,0.100000001,0.100000001,0,30
Fri Jun 29 20:29:52 2018,40720588,693.619568,29.7051678,1513,1510,1088,1510,1088,1940,1514,1514,-0.046951294,-0.187797546,1.00000012,-0.469482422,-0.500000119,0.5,-347.255005,-14716.7988,0,,16.3762379,0,0,0,0,,-6.3532052,0,0,0,0,179.098068,0.272742182,0,0,0,-0.229843363,0.727837324,-9.72045898,0,-0.034055177,0.001064224,61.3195343,34.2890625,19.4250011,0.699999988,1.95000005,1.95000005,0.699999988,0,0,0,0,10000,0,0,0,0.100000001,0.100000001,0.100000001,0.100000001,0,30
Fri Jun 29 20:29:52 2018,40730614,693.619568,29.7051678,1513,1510,1088,1510,1088,1940,1514,1514,-0.046951294,-0.187797546,1.00000012,-0.469482422,-0.500000119,0.5,-405.233032,-14586.3086,0,,16.3403015,0,0,0,0,,-6.40431118,0,0,0,0,179.344986,0.275651395,0,0,0,-0.268150598,0.746990919,-9.63426781,0.004256897,-0.032990951,-0.001064224,61.3195343,34.2890625,19.4250011,0.699999988,1.95000005,1.95000005,0.699999988,0,0,0,0,10000,0,0,0,0.100000001,0.100000001,0.100000001,0.100000001,0,30
Fri Jun 29 20:29:52 2018,40740635,693.619568,29.7051678,1513,1510,1088,1510,1088,1940,1514,1514,-0.046951294,-0.187797546,1.00000012,-0.469482422,-0.500000119,0.5,-383.551086,-14513.8105,0,,16.3038673,0,0,0,0,,-6.45456409,0,0,0,0,179.610748,0.274983406,0,0,0,-0.253785372,0.679953277,-9.58638382,0,-0.035119399,0.001064224,61.3195343,34.2890625,19.4250011,0.699999988,1.95000005,1.95000005,0.699999988,0,0,0,0,10000,0,0,0,0.100000001,0.100000001,0.100000001,0.100000001,0,30
Fri Jun 29 20:29:52 2018,40750637,693.619568,29.7051678,1513,1510,1088,1510,1088,1940,1514,1514,-0.046951294,-0.187797546,1.00000012,-0.469482422,-0.500000119,0.5,-253.000092,-14542.7998,0,,16.265152,0,0,0,0,,-6.50542164,0,0,0,0,179.891785,0.278956652,0,0,0,-0.16759412,0.737414122,-9.60553741,0.002128449,-0.034055177,-0.002128449,61.3195343,34.2890625,19.4250011,0.699999988,1.95000005,1.95000005,0.699999988,0,0,0,0,10000,0,0,0,0.100000001,0.100000001,0.100000001,0.100000001,0,30
Fri Jun 29 20:29:52 2018,40760638,694.054016,29.7178783,1513,1510,1088,1510,1088,1940,1514,1514,-0.046951294,-0.187797546,1.00000012,-0.469482422,-0.500000119,0.5,-332.731781,-14542.8057,0,,16.2255039,0,0,0,0,,-6.5556469,0,0,0,0,-179.806778,-1.29530382,0,0,0,-0.220266551,0.751779318,-9.60553741,-0.002128449,-0.035119399,0,61.3195343,34.2890625,19.4250011,0.699999988,1.95000005,1.95000005,0.699999988,0,0,0,0,10000,0,0,0,0.100000001,0.100000001,0.100000001,0.100000001,0,30
Fri Jun 29 20:29:52 2018,40770639,694.054016,29.7178783,1513,1510,1088,1510,1088,1940,1514,1514,-0.046951294,-0.187797546,1.00000012,-0.469482422,-0.500000119,0.5,-310.963684,-14564.5527,0,,16.1836414,0,0,0,0,,-6.60615683,0,0,0,0,-179.485977,-1.29573119,0,0,0,-0.20590134,0.770932913,-9.61990261,-0.003192673,-0.034055177,0.002128449,61.3195343,34.2890625,19.4250011,0.699999988,1.95000005,1.95000005,0.699999988,0,0,0,0,10000,0,0,0,0.100000001,0.100000001,0.100000001,0.100000001,0,30
Fri Jun 29 20:29:52 2018,40780640,694.054016,29.7178783,1513,1510,1088,1510,1088,1940,1514,1514,-0.046951294,-0.187797546,1.00000012,-0.469482422,-0.500000119,0.5,-441.500336,-14753.0527,0,,16.1381931,0,0,0,0,,-6.65664291,0,0,0,0,-179.137238,-1.29329181,0,0,0,-0.292092592,0.727837324,-9.74440098,0.002128449,-0.032990951,0.001064224,61.3195343,34.2890625,19.4250011,0.699999988,1.95000005,1.95000005,0.699999988,0,0,0,0,10000,0,0,0,0.100000001,0.100000001,0.100000001,0.100000001,0,30
