today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=0.0015, kiei(I)=5e-06, kded(D)=0.0009,signal, mad_pitch, multiplier
Thu Sep 26 21:39:06 2019,35379013,939.25,1513,1517,1088,1513,1088,1940,-0.0469513,-0.140839,0.9,-0.281677,-0.5,0.5,5384,5540,1230,0,28,28,-0.244209,-0.272939,-9.663,0.00851379,0.0170276,0.0148991,-21.5531,35.3215,33.0146,-1.4477,722.219,-1.48669,-0.000289055,-1.48698,0.00147558,-2.15456e-10,-0.000775641,-0.140839,-1.12456,0,
Thu Sep 26 21:39:06 2019,35389014,939.841,1513,1517,1088,1513,1088,1940,-0.0469513,-0.140839,0.9,-0.281677,-0.5,0.5,5384,5540,1230,0,28,28,-0.253785,-0.277727,-9.68215,0.0148991,0.0159634,0.0148991,-21.5531,35.3215,33.0146,-1.50148,722.506,-1.48869,0.000319815,-1.48837,0.00148088,8.82536e-11,0.000317713,-0.140839,-1.12809,0,
Thu Sep 26 21:39:06 2019,35399015,939.841,1513,1517,1088,1513,1088,1940,-0.0469513,-0.140839,0.9,-0.281677,-0.5,0.5,5392,5536,1232,0,28,28,-0.272939,-0.292093,-9.68215,0.0138349,0.0127707,0.0106422,-21.5531,35.3215,33.0146,-1.61474,722.793,-1.49063,0.00142505,-1.48921,0.00148352,4.40627e-11,0.000158626,-0.140839,-1.12985,0,
Thu Sep 26 21:39:06 2019,35409016,939.841,1513,1517,1088,1513,1088,1940,-0.0469513,-0.140839,0.9,-0.281677,-0.5,0.5,5392,5536,1232,0,28,28,-0.244209,-0.407014,-9.54808,0.00744957,0.00957802,0.00532112,-21.5531,35.3215,33.0146,-1.46512,723.08,-1.49262,0.00243098,-1.49019,0.00148624,4.52876e-11,0.000163035,-0.140839,-1.13166,0,
Thu Sep 26 21:39:06 2019,35419017,939.841,1513,1517,1088,1513,1088,1940,-0.0469513,-0.140839,0.9,-0.281677,-0.5,0.5,5384,5536,1232,0,30,30,-0.225055,-0.258574,-9.70609,0.00744957,0.00744957,0.00744957,-21.5531,35.3215,33.0146,-1.32828,723.368,-1.49436,0.0030981,-1.49126,0.00149872,2.08038e-10,0.000748937,-0.140839,-1.13999,0,
Thu Sep 26 21:39:06 2019,35429018,940.032,1513,1517,1088,1513,1088,1940,-0.0469513,-0.140839,0.9,-0.281677,-0.5,0.5,5384,5536,1232,0,30,30,-0.158017,-0.23942,-9.48583,0.00957802,0.00851379,0.00851379,-21.5531,35.3215,33.0146,-0.95436,723.654,-1.49509,0.00278131,-1.49231,0.00150689,1.3617e-10,0.000490211,-0.140839,-1.14543,0,
Thu Sep 26 21:39:06 2019,35439019,940.032,1513,1517,1088,1513,1088,1940,-0.0469513,-0.140839,0.9,-0.281677,-0.5,0.5,5404,5540,1232,0,28,28,-0.0670376,-0.292093,-9.79228,0.0106422,0.00212845,0.0138349,-21.5531,35.3215,33.0146,-0.392239,723.942,-1.49354,0.00455614,-1.48899,0.00150004,-1.14137e-10,-0.000410893,-0.140839,-1.14087,0,
Thu Sep 26 21:39:06 2019,35449020,940.032,1513,1517,1088,1513,1088,1940,-0.0469513,-0.140839,0.9,-0.281677,-0.5,0.5,5404,5540,1232,0,28,28,-0.143652,-0.354342,-9.54808,0.00106422,0.00319267,0.0127707,-21.5531,35.3215,33.0146,-0.861958,724.228,-1.48894,0.00414878,-1.4848,0.00147961,-3.40474e-10,-0.00122571,-0.140839,-1.12725,0,
Thu Sep 26 21:39:06 2019,35459021,940.032,1513,1517,1088,1513,1088,1940,-0.0469513,-0.140839,0.9,-0.281677,-0.5,0.5,5388,5540,1230,0,30,26,-0.100556,-0.263362,-9.69173,0.0042569,0.00638535,0.019156,-21.5531,35.3215,33.0146,-0.594451,724.514,-1.48167,0.00308898,-1.47859,0.00147197,-1.27423e-10,-0.000458722,-0.140839,-1.12215,0,
Thu Sep 26 21:39:06 2019,35469022,940.032,1513,1517,1088,1513,1088,1940,-0.0469513,-0.140839,0.9,-0.281677,-0.5,0.5,5388,5540,1230,0,30,26,-0.177171,-0.172383,-9.63427,0.00851379,-0.00212845,0.0138349,-21.5531,35.3215,33.0146,-1.05353,724.803,-1.47236,0.00540349,-1.46695,0.00145704,-2.48766e-10,-0.000895557,-0.140839,-1.1122,0,
Thu Sep 26 21:39:06 2019,35479023,940.032,1513,1517,1088,1513,1088,1940,-0.0469513,-0.140839,0.9,-0.281677,-0.5,0.5,5380,5544,1228,0,28,26,-0.105345,-0.282516,-9.73482,0.0159634,-0.0042569,0.0138349,-21.5531,35.3215,33.0146,-0.619999,725.09,-1.46141,0.00566986,-1.45574,0.00145226,-7.97361e-11,-0.00028705,-0.140839,-1.10901,0,
Thu Sep 26 21:39:06 2019,35489024,938.668,1513,1517,1088,1513,1088,1940,-0.0469513,-0.140839,0.9,-0.281677,-0.5,0.5,5380,5544,1228,0,28,26,-0.114922,-0.268151,-9.49062,0.0138349,-0.00744957,0.0138349,-21.5531,35.3215,33.0146,-0.69376,725.377,-1.44869,0.00625839,-1.44244,0.00145095,-2.18928e-11,-7.8814e-05,-0.140839,-1.10814,0,
Thu Sep 26 21:39:06 2019,35499025,938.668,1513,1517,1088,1513,1088,1940,-0.0469513,-0.140839,0.9,-0.281677,-0.5,0.5,5384,5546,1228,0,28,28,-0.191536,-0.296881,-9.51935,0.019156,-0.0106422,0.0127707,-21.5531,35.3215,33.0146,-1.15268,725.665,-1.43457,0.00671225,-1.42786,0.00145691,9.93311e-11,0.000357592,-0.140839,-1.11211,0,
Thu Sep 26 21:39:06 2019,35509026,938.668,1513,1517,1088,1513,1088,1940,-0.0469513,-0.140839,0.9,-0.281677,-0.5,0.5,5384,5546,1228,0,28,28,-0.134075,-0.244209,-9.6199,0.0127707,-0.0127707,0.00744957,-21.5531,35.3215,33.0146,-0.798496,725.952,-1.41982,0.00685805,-1.41296,0.00146246,9.24945e-11,0.00033298,-0.140839,-1.11581,0,
Thu Sep 26 21:39:06 2019,35519027,938.668,1513,1517,1088,1513,1088,1940,-0.0469513,-0.140839,0.9,-0.281677,-0.5,0.5,5384,5524,1230,0,28,30,-0.0766145,-0.253785,-9.57202,0.0138349,-0.0127707,0.0106422,-21.5531,35.3215,33.0146,-0.458586,726.238,-1.40399,0.00635523,-1.39763,0.00146521,4.59373e-11,0.000165374,-0.140839,-1.11765,0,
