Time (sec),AccY (m/s^2),AccZ (m/s^2),Gyro (deg/s)
8.53,-7.759863,-5.613926,36.70674
8.54,-7.779024,-5.575606,37.19151
8.551,-7.759863,-5.518125,37.43137
8.57,-7.836504,-5.134922,37.67128
8.582,-7.874825,-5.173243,38.58198
8.59,-7.893985,-5.192402,38.76196
8.601,-8.028106,-5.115762,38.69705
8.612,-8.104747,-4.962481,39.42575
8.62,-8.143066,-4.88584,39.4836
8.63,-8.200547,-4.905,39.9073
8.641,-8.277188,-4.88584,40.14704
8.652,-8.296348,-4.86668,40.75263
8.66,-8.277188,-4.751719,40.81039
8.68,-8.277188,-4.713398,41.05321
8.691,-8.296348,-4.675078,41.41472
8.7,-8.334668,-4.636758,41.47244
8.71,-8.392149,-4.406836,41.22527
8.721,-8.411309,-4.387676,41.40382
8.732,-8.411309,-4.387676,41.03357
8.74,-8.411309,-4.368516,41.09126
8.752,-8.411309,-4.272715,40.84297
8.76,-8.43047,-4.100274,40.90051
8.771,-8.50711,-4.023633,40.34705
8.79,-8.698711,-4.004473,40.40335
8.8,-8.794512,-4.061953,40.15593
8.811,-8.832832,-3.927832,40.21344
8.82,-8.851993,-3.908672,39.90519
8.83,-8.851993,-3.966152,39.35304
8.841,-8.794512,-3.851192,39.59244
8.852,-8.737032,-3.755391,38.97819
8.86,-8.698711,-3.257227,39.34042
8.87,-8.641231,-3.238066,39.45862
8.881,-8.698711,-3.180586,39.20972
8.892,-8.832832,-3.161426,39.08652
8.9,-8.890313,-3.103945,38.96082
8.911,-8.947793,-3.084785,38.7743
8.922,-9.024434,-2.969824,38.64796
8.93,-9.120234,-3.046465,38.40076
8.942,-9.196876,-3.065625,38.03053
8.95,-9.177715,-3.027305,37.72236
8.961,-9.139395,-2.835703,37.47385
8.97,-9.101074,-2.816543,37.10437
8.98,-9.062755,-2.893184,37.09954
8.993,-9.062755,-2.912344,36.30565
9.002,-9.062755,-2.854863,35.8752
9.011,-9.043594,-2.567461,35.68977
9.02,-9.024434,-2.586621,35.381
9.03,-9.081915,-2.548301,34.6454
9.04,-9.101074,-2.509981,34.39632
9.052,-9.196876,-2.39502,33.53747
9.06,-9.292676,-2.299219,33.4118
9.07,-9.330997,-2.280059,32.43256
9.08,-9.369317,-2.280059,32.12284
9.092,-9.350157,-2.337539,31.14602
9.1,-9.369317,-2.241738,30.47165
9.111,-9.330997,-2.050137,29.73637
9.122,-9.235196,-2.030977,28.87811
9.13,-9.177715,-1.992656,28.02099
9.141,-9.196876,-1.935176,27.16273
9.15,-9.177715,-1.896856,26.42757
9.161,-9.196876,-1.705254,25.14237
9.172,-9.292676,-1.801055,23.91804
9.18,-9.388477,-1.801055,23.12175
9.192,-9.426797,-1.839375,22.32786
9.2,-9.541759,-1.762734,21.71449
9.211,-9.522598,-1.571133,20.73528
9.222,-9.503438,-1.590293,19.9988
9.23,-9.426797,-1.609453,19.56959
9.241,-9.292676,-1.571133,19.50384
9.252,-9.273516,-1.437012,18.70638
9.26,-9.273516,-1.341211,18.39813
9.271,-9.254355,-1.341211,18.08887
9.28,-9.350157,-1.456172,18.20754
9.291,-9.388477,-1.456172,17.71865
9.302,-9.445957,-1.437012,17.47037
9.312,-9.484278,-1.341211,17.34499
9.321,-9.465117,-1.456172,16.97563
9.331,-9.465117,-1.437012,16.42217
9.34,-9.426797,-1.456172,15.62598
9.351,-9.426797,-1.437012,15.31642
9.36,-9.388477,-1.22625,14.8861
9.37,-9.350157,-1.22625,14.08877
9.382,-9.369317,-1.16877,13.71828
9.4,-9.445957,-1.053809,12.18925
9.411,-9.465117,-0.9005274,10.84441
9.42,-9.484278,-0.9580079,10.04856
9.431,-9.503438,-1.053809,9.434567
9.44,-9.503438,-1.092129,8.577734
9.451,-9.484278,-1.034649,7.719843
9.462,-9.445957,-0.9963282,7.044904
9.47,-9.426797,-1.092129,6.371039
9.481,-9.407638,-1.072969,5.574177
9.49,-9.426797,-1.111289,4.778359
9.5,-9.407638,-1.130449,4.411461
9.511,-9.445957,-0.9388477,3.720654
9.522,-9.445957,-0.977168,2.977983
9.53,-9.465117,-0.9963282,2.497198
9.541,-9.465117,-1.072969,1.998429
9.55,-9.484278,-0.9388477,1.273742
9.561,-9.484278,-0.9005274,0.4111429
9.57,-9.484278,-0.9580079,0.1772967
9.58,-9.407638,-1.072969,-0.5003519
9.59,-9.388477,-1.053809,-0.5512713
9.6,-9.369317,-0.977168,-0.8731224
9.611,-9.369317,-0.8238868,-0.9230276
9.622,-9.330997,-0.977168,-0.9868639
9.631,-9.388477,-0.9580079,-1.034741
9.64,-9.388477,-0.9963282,-1.021643
9.651,-9.445957,-0.9963282,-1.024503
9.662,-9.503438,-0.9005274,-0.903953
9.67,-9.522598,-0.9963282,-1.010616
9.681,-9.503438,-1.015488,-0.6447036
9.69,-9.484278,-0.977168,-0.6294157
9.702,-9.465117,-0.9963282,-0.3397668
9.711,-9.388477,-0.8430469,-0.08132353
9.722,-9.254355,-1.149609,0.2221187
9.73,-9.273516,-1.111289,0.4192127
9.741,-9.273516,-1.20709,0.8446062
9.75,-9.330997,-0.9196875,1.285602
9.761,-9.407638,-0.613125,1.834477
9.772,-9.560919,-0.7664063,2.323906
9.78,-9.618399,-0.7472461,2.889149
9.79,-9.637559,-0.7472461,3.454392
9.8,-9.618399,-0.7089258,3.866384
9.812,-9.522598,-0.7472461,4.628604
9.82,-9.426797,-0.7664063,4.992095
9.83,-9.330997,-0.9388477,5.660464
9.841,-9.254355,-0.977168,6.14512
9.85,-9.158555,-0.9388477,7.240318
9.862,-9.196876,-0.8430469,7.907753
9.871,-9.254355,-0.977168,8.088096
9.88,-9.311836,-1.015488,8.39039
9.89,-9.484278,-0.9580079,9.606458
9.902,-9.541759,-0.7855664,10.15438
9.911,-9.560919,-0.6322852,10.70065
9.922,-9.580078,-0.5939649,11.36807
9.93,-9.580078,-0.5939649,12.03633
9.941,-9.522598,-0.5748047,12.3379
9.95,-9.445957,-0.4790039,13.18909
9.961,-9.196876,-0.4790039,13.67381
9.972,-8.794512,-0.4023633,14.28072
9.98,-8.851993,-0.4215235,14.33956
9.99,-9.024434,-0.6514453,14.70327
10,-9.330997,-0.364043,14.82451
10.01,-9.445957,-0.5556446,14.88406
10.021,-9.445957,-0.4598438,15.36908
10.031,-9.330997,-0.5748047,14.8182
10.042,-9.580078,-0.8430469,14.69346
10.05,-9.81,-0.7855664,14.02064
10.06,-10.03992,-0.728086,13.46951
10.072,-9.905801,-0.7664063,11.57547
10.08,-9.733359,-0.5556446,10.71897
10.091,-9.599238,-0.249082,9.73956
10.111,-9.465117,0.4023633,6.870845
10.12,-9.407638,0.2874024,5.46696
10.131,-9.311836,0.1724414,3.818692
10.14,-9.254355,-0.01916016,2.65871
10.15,-9.273516,-0.249082,1.31532
10.16,-9.388477,-0.364043,0.5819022
10.171,-9.580078,-0.4790039,-0.4576722
10.18,-9.79084,-0.4981641,-0.8867431
10.191,-10.15488,-0.4598438,-1.255586
10.2,-10.26984,-0.3257227,-1.135876
10.212,-10.30816,-0.3257227,-0.8927212
10.22,-10.25068,-0.4215235,-0.8332176
10.231,-9.79084,-0.3832031,-0.4702626
10.24,-9.580078,-0.2682422,-0.2285341
10.25,-9.350157,-0.09580079,0.1344209
10.26,-9.062755,0,0.4975899
10.271,-8.698711,-0.03832031,1.287802
10.281,-8.583751,-0.07664063,1.651185
10.29,-8.56459,-0.03832031,2.075543
10.3,-8.660391,0.1149609,2.682828
10.32,-9.311836,-0.01916016,3.596845
10.331,-9.541759,0.09580079,4.360089
10.341,-9.924961,-0.2874024,4.931419
10.35,-10.02076,-0.249082,5.634306
10.361,-10.05908,-0.3448828,6.345456
10.37,-9.982442,-0.4215235,7.380025
10.38,-9.618399,-0.5173243,7.865142
10.391,-9.369317,-0.4023633,8.960013
10.4,-9.196876,-0.2299219,9.323851
10.41,-9.005274,-0.1532813,9.931581
10.421,-8.756192,0.05748047,10.35773
10.431,-8.813672,0.249082,10.90446
10.44,-8.986114,0.2682422,11.26759
10.452,-9.426797,0.5748047,11.63072
10.462,-9.656719,0.4981641,11.81187
10.47,-9.79084,0.4023633,12.17664
10.48,-9.848321,0.3065625,12.23616
10.491,-9.79084,0.2107617,11.74653
10.501,-9.656719,0.1724414,11.62313
10.511,-9.541759,0.05748047,10.95106
10.531,-9.580078,-0.09580079,9.058376
10.541,-9.503438,-0.07664063,7.6535
10.552,-9.465117,0.1532813,5.760818
10.56,-9.445957,0.2107617,4.173545
10.57,-9.445957,0.1916016,2.952087
10.581,-9.407638,0.3065625,0.7543707
10.59,-9.445957,0.4215235,-1.564648
10.6,-9.484278,0.6514453,-3.579438
10.611,-9.522598,0.5939649,-5.28846
10.622,-9.580078,0.5556446,-7.668139
10.64,-9.77168,0.3448828,-10.3527
10.652,-10.17404,0.1724414,-11.20799
10.662,-9.867481,0.07664063,-12.0637
10.67,-9.7142,-0.01916016,-12.30925
10.682,-9.158555,-0.2682422,-12.37296
10.691,-8.871153,-0.03832031,-11.82583
10.7,-8.851993,0.1341211,-11.70607
10.711,-8.737032,0.1916016,-10.91491
10.722,-8.947793,0.2299219,-10.42879
10.73,-9.139395,0.3257227,-10.18616
10.74,-9.465117,0.3832031,-9.576824
